method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,reward_mode,coverage_weight,predictive_weight,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,posterior_quality_objective,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
prior_mean,80,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,80,0,717,wide_window,,10,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.18974106846301833,0.26064877802230585,0.9029138529307517,0.17000000000000007,0.8877949511631608,-0.391928273138622,,0.26478569415940056,0.26478569415940056,0.9172445508029509,0.01779225334825685,0.2965375558042809,1.0272362260106114,0.2709602047527465,0.2709602047527465,0.9386336829220457,0.012618699442367721,0.21031165737279536,0.7285409519873984
gaussian_npe,80,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1781094868459109,0.24411328893611833,0.8456332384801968,0.10083333333333332,0.9277961183433281,-0.3621012341037845,5.796255610964941,0.27424123472911716,0.27424123472911716,0.9499995041625067,0.01578587807360327,0.26309796789338785,0.9113980955189458,0.22643248038633387,0.22643248038633387,0.784385121025947,0.012760888364138061,0.21268147273563437,0.7367502332133873
rectified_fmpe,80,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20123833707740482,0.2751543736179761,0.9531627100622482,0.3458333333333334,0.9579523068655427,-0.45740793763786375,,0.2828176642420116,0.2828176642420116,0.9797091274902394,0.01642481558247448,0.2737469263745747,0.9482871697931601,0.28546654199915344,0.28546654199915344,0.988885109207057,0.015515181711369883,0.25858636185616474,0.895769433758536
prior_mean,180,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,180,0,717,wide_window,,13,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.18386975532134328,0.24837665725617125,0.8604019795636192,0.1316666666666667,0.8818604209261158,-0.3694793660154495,,0.25646520393770283,0.25646520393770283,0.8884215271872299,0.01636610432917332,0.272768405486222,0.9448974740033715,0.2627620853970919,0.2627620853970919,0.9102345644210305,0.012090656052220096,0.20151093420366828,0.6980543526428451
gaussian_npe,180,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17904369485243898,0.23859802264897745,0.8265277956269972,0.20333333333333337,0.9239105865596278,-0.3818224146382736,6.36355491036689,0.26302546185806536,0.26302546185806536,0.9111469272448779,0.014129001773000678,0.23548336288334465,0.8157382977022641,0.24224004635494478,0.24224004635494478,0.8391441358292087,0.012818593169973302,0.21364321949955506,0.7400818217316384
rectified_fmpe,180,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.18471376332629103,0.24659597567889113,0.8542335176357171,0.3141666666666667,0.9715711351752807,-0.4222947558630859,,0.2727878655478016,0.2727878655478016,0.9449648856341201,0.014928826181918162,0.24881376969863606,0.8619161814815584,0.2483383888528376,0.2483383888528376,0.8602694139258223,0.012986632716977354,0.21644387861628925,0.7497835895013676
prior_mean,230,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,230,0,717,wide_window,,15,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.18057913010797644,0.2444408693314033,0.8467680102565908,0.10250000000000002,0.8875636072679206,-0.35882223005819536,,0.2603732854346372,0.2603732854346372,0.9019595186128503,0.016431377456976495,0.2738562909496083,0.9486660197941728,0.24947038432350577,0.24947038432350577,0.8641907612640926,0.011643810997071711,0.19406351661786186,0.6722557413552477
