abc_k_used_mean,abc_k_used_std,budget,coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,posterior_quality_objective_mean,posterior_quality_objective_std,prior_std_normalized_rmse_alpha_mean,prior_std_normalized_rmse_alpha_std,prior_std_normalized_rmse_beta_mean,prior_std_normalized_rmse_beta_std,prior_std_normalized_rmse_delta_mean,prior_std_normalized_rmse_delta_std,prior_std_normalized_rmse_gamma_mean,prior_std_normalized_rmse_gamma_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_alpha_mean,range_normalized_rmse_alpha_std,range_normalized_rmse_beta_mean,range_normalized_rmse_beta_std,range_normalized_rmse_delta_mean,range_normalized_rmse_delta_std,range_normalized_rmse_gamma_mean,range_normalized_rmse_gamma_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,rmse_alpha_mean,rmse_alpha_std,rmse_beta_mean,rmse_beta_std,rmse_delta_mean,rmse_delta_std,rmse_gamma_mean,rmse_gamma_std,validation_log_posterior_mean,validation_log_posterior_std
,,80,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
10.0,0.0,80,0.16333333333333339,0.006666666666666682,abc_knn,0.9354694260631429,0.04767447489998217,-0.39156886519369516,0.00035940794492683725,0.9354517260845382,0.01820717528158733,0.9344195281733471,0.09281669783726432,0.7717283322906188,0.043187380303220335,0.9221100431712814,0.016523639750764374,0.8909274074299464,0.011986445500805298,0.27004165293440413,0.005255958775003566,0.2697436830634625,0.02679387274081836,0.22277878019462488,0.012467122821829504,0.2661902408236984,0.004769963929048104,0.25718858925404753,0.0034601887682583488,0.18991692128389076,0.00017585282087241583,2,0.27004165293440413,0.005255958775003566,0.01618462098380775,0.0016076323644491014,0.013366726811677491,0.0007480273693097703,0.2661902408236984,0.004769963929048104,,
,,80,0.07625000000000001,0.02458333333333331,gaussian_npe,0.961160952133209,0.033364833789880866,-0.35196782970759594,0.010133404396188539,0.9055876425663327,0.044411861596173996,0.8654822108914328,0.04591588462751295,0.7411229143291048,0.004372681115717536,0.7688551108485315,0.01553001017741551,0.8202619696588505,0.02537126882134627,0.2614206346052354,0.01282060012388174,0.24984319371850064,0.013254774174887213,0.2139437570452543,0.0012622843096199432,0.22194935260810966,0.004483127778224225,0.23678923449427502,0.0073240544418433084,0.17176726207932502,0.0063422247665858855,2,0.2614206346052354,0.01282060012388174,0.014990591623110037,0.0007952864504932322,0.01283662542271526,7.573705857719711e-05,0.22194935260810966,0.004483127778224225,5.923261565958975,0.12700595499403367
,,80,0.3120833333333334,0.03375,rectified_fmpe,1.0351327417676637,0.07718043490212112,-0.45505833956736075,0.0023495980705030284,0.9798655253591815,0.00015639786894211527,0.9359769346475529,0.01231023514560714,0.8827355200790918,0.013033913679444176,0.9914849561096605,0.0025998469026035087,0.9475157340488718,0.005646976013376381,0.2828628124178788,4.514817586720454e-05,0.2701932675870228,0.0035536587875519554,0.254823795070454,0.0037625667857107414,0.2862170531536884,0.0007505111545349775,0.273524232057261,0.0016301415607151148,0.20151210667397582,0.0002737695965709941,2,0.2828628124178788,4.514817586720454e-05,0.016211596055221364,0.00021321952725311677,0.01528942770422724,0.00022575400714264313,0.2862170531536884,0.0007505111545349775,,
,,180,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
13.0,0.0,180,0.11125000000000004,0.020416666666666673,abc_knn,0.9243318045007065,0.042471383574590627,-0.3633421305179738,0.00613723549747569,0.8665581179994759,0.02186340918775398,0.9087397147716025,0.036157759231769004,0.7229162483040688,0.024861895661223654,0.870229140182764,0.040005424238266474,0.8421108053144778,0.018291174249141395,0.2501537813477265,0.006311422589976343,0.26233055947334427,0.010437846012877755,0.2086879452799542,0.007177011076285947,0.25121351417058774,0.01154857122650417,0.24309645006790317,0.005280207188268077,0.17755560829417968,0.006314147027163597,2,0.2501537813477265,0.006311422589976343,0.015739833568400655,0.0006262707607726653,0.012521276716797253,0.0004306206645771568,0.25121351417058774,0.01154857122650417,,
,,180,0.12666666666666668,0.07666666666666667,gaussian_npe,0.9724430685196928,0.04853248196006499,-0.36443567023321566,0.017386744405057913,0.913621614860438,0.002474687615560134,0.8066972934268188,0.009041004275445352,0.7207035551030716,0.019378266628566787,0.822503465784893,0.016640670044315686,0.8158814822938053,0.010646313333191881,0.2637398426385673,0.0007143807805019275,0.23287344975725818,0.002609913126086466,0.20804919577233938,0.005594023727215694,0.2374362986901541,0.004803747664790706,0.2355246967145797,0.0030733259343977276,0.17769510509808756,0.0013485897543514258,2,0.2637398426385673,0.0007143807805019275,0.01397240698543549,0.0001565947875651879,0.01248295174634036,0.00033564142363294146,0.2374362986901541,0.004803747664790706,6.245318179716925,0.11823673064996543
,,180,0.28500000000000003,0.029166666666666674,rectified_fmpe,0.9432241817267675,0.02834695344851329,-0.40288558276638586,0.019409173096700066,0.8895747014585319,0.055390184175588164,0.8249727396486379,0.036943441832920476,0.7420481624537987,0.00773542704756891,0.8317120634891088,0.02855735043671359,0.8220769167625193,0.03215660087319777,0.2567980966756822,0.015989768872119392,0.23814911665512206,0.01066465304351398,0.21421085317218394,0.0022330254441053077,0.24009459187184806,0.008243796980989537,0.23731316459370908,0.009282811085182058,0.17605705469214447,0.008656708634146554,2,0.2567980966756822,0.015989768872119392,0.014288946999307325,0.0006398791826108382,0.012852651190331035,0.0001339815266463186,0.24009459187184806,0.008243796980989537,,
,,230,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
15.0,0.0,230,0.09375000000000003,0.00875,abc_knn,0.9205727048019332,0.0330090975340126,-0.3557228440945802,0.00309938596361517,0.8790751734797049,0.022884345133145467,0.9053887371050455,0.04327728268912723,0.7069037204406317,0.03464797908538403,0.8373302002107331,0.026860561053359433,0.8321744578090288,0.014593552447561997,0.2537671440232123,0.006606141411424918,0.2613632155444267,0.012493075405181589,0.20406552664377337,0.010002010025911487,0.24171640824613505,0.007753976077370731,0.24022807361438686,0.0042127957170164515,0.17551533925231214,0.005063790855664302,2,0.2537671440232123,0.006606141411424918,0.0156817929326656,0.0007495845243108944,0.012243931598626401,0.0006001206015546897,0.24171640824613505,0.007753976077370731,,
