method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,reward_mode,coverage_weight,predictive_weight,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,posterior_quality_objective,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
prior_mean,80,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,80,0,717,wide_window,,10,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.18269166794612104,0.2530979781901925,0.8767571150367459,0.15000000000000005,0.9421794939699039,-0.3848159275871829,,0.24701542337757965,0.24701542337757965,0.8556865270862098,0.017575921309587877,0.29293202182646466,1.014746289934624,0.26838320019786505,0.26838320019786505,0.9297066772812635,0.01224367604153164,0.20406126735886065,0.7068889658448864
gaussian_npe,80,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17789147994719628,0.2511964718849519,0.8701701039735674,0.32166666666666666,0.9497263657491919,-0.4265857751265377,3.496241914004955,0.24647533749255524,0.24647533749255524,0.8538156146995837,0.016736284426951426,0.2789380737825238,0.9662698319134547,0.25567787929533176,0.25567787929533176,0.8856941546219544,0.013421675818163814,0.2236945969693969,0.7749008146592768
rectified_fmpe,80,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17599497618790433,0.237235498696971,0.8218078742041877,0.19916666666666671,0.9146516359082566,-0.3784923289544634,,0.25382540109915924,0.25382540109915924,0.8792769819105858,0.014630513164202628,0.2438418860700438,0.844693071373475,0.24310395758753153,0.24310395758753153,0.8421368121253481,0.01249024500186896,0.20817075003114935,0.7211246314073422
prior_mean,180,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,180,0,717,wide_window,,13,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1801243636510747,0.24705767759709796,0.8558328999962896,0.11750000000000003,0.9483080514483448,-0.37126348274193244,,0.2499130368835016,0.2499130368835016,0.865724154712119,0.017069090749803433,0.28448484583005723,0.9854844139221163,0.25863894391861786,0.25863894391861786,0.8959515833660071,0.011711633025372911,0.1951938837562152,0.6761714479849161
gaussian_npe,180,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17185508417550208,0.23286742363454022,0.8066764183253783,0.2908333333333334,0.9009312936943447,-0.395668886337308,4.939371469656957,0.24682370825101252,0.24682370825101252,0.8550224064066223,0.014924393005230551,0.2487398834205092,0.8616602319061627,0.2384357755411161,0.2384357755411161,0.8259657551586034,0.01184821963953138,0.197470327325523,0.6840572798301252
rectified_fmpe,180,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17994580349261657,0.24328270509760402,0.8427560116636921,0.32416666666666666,0.907524451889749,-0.4150768169532456,,0.25925126790070124,0.25925126790070124,0.8980727358613297,0.015359813469992508,0.25599689116654184,0.8867992441602615,0.24883226792224414,0.24883226792224414,0.8619802612078363,0.012543023604055731,0.20905039340092885,0.7241718054253407
prior_mean,230,0,717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20256406788533926,0.28882600482093884,1.0005226297939989,0.022499999999999982,1.034151373651148,-0.39786614218605365,,0.27514060114485267,0.27514060114485267,0.9531150008158568,0.018272584557892876,0.3045430759648813,1.054968161328965,0.29633048862373756,0.29633048862373756,1.026518924256049,0.016757391213017028,0.2792898535502838,0.967488432775125
abc_knn,230,0,717,wide_window,,15,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17864602621868234,0.2440829329769657,0.8455280823530671,0.10750000000000004,0.9580157068784629,-0.36675950366481197,,0.24959324848339665,0.24959324848339665,0.8646163751988131,0.01678703949061522,0.2797839915102537,0.9692001768803574,0.2548453551430731,0.2548453551430731,0.8828102063614741,0.011526548206268361,0.19210913677113936,0.6654855709716236
