abc_k_used_mean,abc_k_used_std,budget,coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,posterior_quality_objective_mean,posterior_quality_objective_std,prior_std_normalized_rmse_alpha_mean,prior_std_normalized_rmse_alpha_std,prior_std_normalized_rmse_beta_mean,prior_std_normalized_rmse_beta_std,prior_std_normalized_rmse_delta_mean,prior_std_normalized_rmse_delta_std,prior_std_normalized_rmse_gamma_mean,prior_std_normalized_rmse_gamma_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_alpha_mean,range_normalized_rmse_alpha_std,range_normalized_rmse_beta_mean,range_normalized_rmse_beta_std,range_normalized_rmse_delta_mean,range_normalized_rmse_delta_std,range_normalized_rmse_gamma_mean,range_normalized_rmse_gamma_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,rmse_alpha_mean,rmse_alpha_std,rmse_beta_mean,rmse_beta_std,rmse_delta_mean,rmse_delta_std,rmse_gamma_mean,rmse_gamma_std,validation_log_posterior_mean,validation_log_posterior_std
,,80,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
10.0,0.0,80,0.1420833333333334,0.007916666666666669,abc_knn,0.9425727950846243,0.0003933011147205234,-0.37766682324543466,0.007149104341748285,0.8849726902714498,0.02928616318523991,0.9297135593599257,0.08503273057469835,0.7339686132456158,0.02707964740072949,0.8861918654576504,0.04351481182361322,0.8587116820836603,0.018045432953085583,0.25546961047684447,0.008454187099264793,0.2683851868828491,0.024546834943615536,0.2118784882170463,0.007817220858185661,0.25582155603781553,0.012561644160049498,0.24788871040363886,0.005209267786553631,0.18121343092165437,0.001478237024466686,2,0.25546961047684447,0.008454187099264793,0.016103111212970946,0.0014728100966169312,0.012712709293022779,0.0004690332514911393,0.25582155603781553,0.012561644160049498,,
,,80,0.23125,0.09041666666666665,gaussian_npe,0.9361085596659339,0.013617806083258022,-0.39314219206972323,0.033443583056814497,0.8729093803688701,0.019093765669286444,0.8840779508678365,0.08219188104561825,0.7597433115593182,0.015157503099958614,0.8326237994202561,0.05307035520169828,0.8373386105540703,0.03283149341949715,0.2519872328670583,0.005511895374503084,0.2552113214590791,0.023726752323444705,0.21931900272189506,0.004375594247501835,0.24035778736448699,0.015320091930844784,0.24171883610312986,0.009477635781822064,0.1745710115789298,0.0033204683682665076,2,0.2519872328670583,0.005511895374503084,0.015312679287544744,0.001423605139406682,0.013159140163313703,0.0002625356548501103,0.24035778736448699,0.015320091930844784,4.414637439812551,0.9183955258075958
,,80,0.19625000000000004,0.0029166666666666785,rectified_fmpe,0.9404065138695501,0.025754877961293443,-0.3998178966235514,0.021325567669087997,0.8864678469053769,0.007190864994791157,0.9110117327587075,0.0663186613852324,0.7957199825799897,0.07459535117264754,0.9639442921710077,0.12180748004565967,0.8892859636037704,0.06747808939958272,0.2559012250193837,0.0020758239202244566,0.26298643457157356,0.019144548501529773,0.22970457307106068,0.021533823039911346,0.2782667482843673,0.0351627906968358,0.2567147452365963,0.019479246539625336,0.1896414810083773,0.013646504820472957,2,0.2559012250193837,0.0020758239202244566,0.015779186074294415,0.0011486729100917865,0.013782274384263642,0.0012920293823946811,0.2782667482843673,0.0351627906968358,,
,,180,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
13.0,0.0,180,0.09791666666666671,0.019583333333333328,abc_knn,0.9496659261199585,0.0013578746716135792,-0.358997134377282,0.012266348364650487,0.8371896748893746,0.02853447982274443,0.939774653011537,0.04570976091057932,0.6975551902513069,0.021383742266390726,0.8448017033981716,0.05114987996783554,0.8298303053875975,0.026002594608692142,0.2416758420800779,0.00823719480342372,0.27128957444689905,0.013195271383158208,0.20136683843310632,0.006172954676891135,0.24387324543439443,0.014765698484223447,0.2395513750986194,0.007506302498478543,0.17198391950771186,0.00814044414336286,2,0.2416758420800779,0.00823719480342372,0.01627737446681394,0.0007917162829894926,0.01208201030598638,0.0003703772806134681,0.24387324543439443,0.014765698484223447,,
,,180,0.20916666666666672,0.08166666666666668,gaussian_npe,0.9358358839040533,0.03490459020970854,-0.3697453730980434,0.025923513239264617,0.8191244696325117,0.03589793677411057,0.800199413570322,0.06146081833584072,0.6815129495180188,0.0025443303121064353,0.8011985172263821,0.024767237932221242,0.7755088374868085,0.03116758083856974,0.23646086652107007,0.010362841729942451,0.23099767341510305,0.017742210005406156,0.196735842430222,0.0007344848953010075,0.23128608979749038,0.007149685743625719,0.2238701180409714,0.00899730559356883,0.1656377454677267,0.0062173387077753975,2,0.23646086652107007,0.010362841729942451,0.013859860404906183,0.0010645326003243692,0.01180415054581332,4.40690937180601e-05,0.23128608979749038,0.007149685743625719,5.662667488688436,0.7232960190314786
,,180,0.30000000000000004,0.024166666666666642,rectified_fmpe,0.9131325431309785,0.0056080912412294626,-0.40888946043909014,0.006187356514155473,0.8908081510073693,0.007264584853960365,0.8603378961498779,0.02646134801038358,0.7604751906360552,0.03630338521071458,0.8496132719468519,0.012366989260984451,0.8403086274350386,0.0024473842286534264,0.25715416289020876,0.002097105010492456,0.24835815796808416,0.007638733198457676,0.21953027801287922,0.010479884611950374,0.24526222563279687,0.003570042289447281,0.24257620612599226,0.0007064989716117631,0.1779602147957161,0.0019855886969004505,2,0.25715416289020876,0.002097105010492456,0.014901489478085048,0.0004583239919074599,0.013171816680772754,0.0006287930767170224,0.24526222563279687,0.003570042289447281,,
,,230,0.020000000000000018,0.002499999999999964,prior_mean,1.0624134800549512,0.028262106403803,-0.4013203863028757,0.0034542441168220195,0.9894603026274074,0.03634530181155066,1.0452171374815231,0.009751023847441753,0.9716497176018182,0.004161284826693201,1.0131259026235004,0.013393021632548574,1.0048632650835623,0.00434063528956341,0.28563258603719116,0.01049198489233849,0.30172819784328375,0.0028148781215975027,0.2804911130077168,0.0012012594574330182,0.2924642563013303,0.0038662323224072093,0.2900790382973806,0.0012530334764417062,0.20483935505886974,0.0022752871735304964,2,0.28563258603719116,0.01049198489233849,0.018103691870597027,0.00016889268729584905,0.016829466780463008,7.20755674459804e-05,0.2924642563013303,0.0038662323224072093,,
15.0,0.0,230,0.09250000000000003,0.015000000000000006,abc_knn,0.952920801811453,0.0050949050670098806,-0.3553941430579719,0.011365360606840041,0.8300790896270396,0.034537285571773546,0.9180529464593625,0.051147230420994894,0.6976561998240016,0.032170628852377925,0.8378622691384616,0.044947937223012546,0.8209126262622164,0.02461545609085075,0.2396231929224254,0.009970055560971233,0.26501905788432106,0.01476493362593262,0.20139599738509933,0.009286860613959974,0.24187000331546077,0.01297535182761235,0.23697706287682663,0.007105870100139064,0.17053207079220117,0.008113955426481162,2,0.2396231929224254,0.009970055560971233,0.01590114347305926,0.0008858960175559564,0.01208375984310596,0.0005572116368375984,0.24187000331546077,0.01297535182761235,,
