method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
random,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
fixed_dumb,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
bo,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
bo_marginal_random,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
random,10,15.0,0.0,40.0,0.0,1,27.94672955053985,8.417794192756348,14.623139884217988,6.123289066530064,13.323589666321865,8.859618947111992
fixed_dumb,10,15.0,0.0,40.0,0.0,1,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,1,28.408921005811816,8.117625047973467,15.797544726418778,7.129246955616426,12.611376279393033,0.9883780923570384
bo_marginal_random,10,15.0,0.0,40.0,0.0,1,27.682648390593243,7.054456753773121,18.94695476234957,6.834489394260511,8.735693628243672,3.5676774916219722
random,10,15.0,0.0,40.0,0.0,2,25.23822237409529,8.131037559075155,15.199360290154747,5.876415745852671,10.038862083940542,7.247442043749305
fixed_dumb,10,15.0,0.0,40.0,0.0,2,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,2,25.701088237279247,5.409792279440902,15.395601060185834,6.727303289383482,10.305487177093417,1.3175110099425795
bo_marginal_random,10,15.0,0.0,40.0,0.0,2,31.662041833049102,6.414896063257176,14.46488397242617,7.633939243148964,17.19715786062293,5.669752062611323
random,10,15.0,0.0,40.0,0.0,3,26.81309734379547,10.132471726643988,12.645132507184464,6.988515008777166,14.16796483661101,9.414686025207788
fixed_dumb,10,15.0,0.0,40.0,0.0,3,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,3,27.982656299420647,7.691360341582298,5.453160589912477,3.2151371808898737,22.529495709508165,10.906497522472172
bo_marginal_random,10,15.0,0.0,40.0,0.0,3,30.472693680951437,7.948874813306993,13.978318864580084,8.820670682263943,16.494374816371355,8.235625718022623
random,10,15.0,0.0,40.0,0.0,4,26.46139497665605,6.434288711613339,12.060305094149957,6.077315154901657,14.40108988250609,6.990625892823709
fixed_dumb,10,15.0,0.0,40.0,0.0,4,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,4,21.608934848215696,1.317638890377351,7.699177598602484,0.9691201721998679,13.909757249613213,2.286759062577218
bo_marginal_random,10,15.0,0.0,40.0,0.0,4,30.854711683488073,8.909561605138414,15.160734769600264,8.233427203229446,15.693976913887818,8.78608007138414
random,10,15.0,0.0,40.0,0.0,5,25.112735874527242,6.485241953556012,16.27133663393297,5.6764758835250975,8.841399240594269,4.863818606981451
fixed_dumb,10,15.0,0.0,40.0,0.0,5,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,5,37.3594151195702,1.6853984785672618,12.988231780652166,10.750208371629565,24.371183338918037,9.064809893062304
bo_marginal_random,10,15.0,0.0,40.0,0.0,5,30.850428571840155,6.5085989516995655,14.468970568508405,8.411345439802544,16.38145800333175,7.044934288419653
random,10,15.0,0.0,40.0,0.0,6,24.293958872846773,8.718279620963964,13.71915230478194,6.159782684004076,10.574806568064833,7.369194186286732
fixed_dumb,10,15.0,0.0,40.0,0.0,6,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,6,35.41079684262617,4.299916325906015,18.29813738141906,3.8247669681502563,17.11265946120711,8.12468329405627
bo_marginal_random,10,15.0,0.0,40.0,0.0,6,37.73224143186915,1.8528887884949925,19.210105430286927,6.65892463116503,18.522136001582215,7.897313299921972
