batch_index,method,pred0,prey0,psi0_unit,psi1_unit,replicate,round,t_end,t_span,t_start
0,random,15.0,40.0,0.7981107923912266,0.08324765582615046,0,0,21.26014959776604,19.558437432606986,1.701712165159054
1,random,15.0,40.0,0.38464660468441214,0.4389127427425902,0,0,23.42673100980497,10.462225303057068,12.964505706747904
2,random,15.0,40.0,0.010456959364950946,0.2014676665267391,0,0,9.839476171596132,2.2300531060289206,7.609423065567211
3,random,15.0,40.0,0.2626348460652195,0.239859660768729,0,0,15.50673261081501,7.777966613434828,7.728765997380182
4,random,15.0,40.0,0.33290537647217533,0.9546795676683655,0,0,38.60974671431727,9.323918282387858,29.28582843192941
5,random,15.0,40.0,0.6225878048142056,0.6415288564837752,0,0,31.288051317665555,15.696931705912524,15.591119611753031
6,random,15.0,40.0,0.5937574226653703,0.7033148658977055,0,0,32.60146291660239,15.062663298638148,17.53879961796424
7,random,15.0,40.0,0.8898526955970029,0.9012216993389107,0,0,38.18018359129336,21.576759303134065,16.603424288159296
8,random,15.0,40.0,0.35310171271093893,0.10441855170229963,0,0,12.924994516540732,9.768237679640656,3.156756836900076
9,random,15.0,40.0,0.6514291964601906,0.47316540777197724,0,0,27.53058506715086,16.331442322124193,11.199142745026668
10,random,15.0,40.0,0.29671140170813315,0.1971171218538711,0,0,14.73138972245546,8.527650837578928,6.2037388848765325
11,random,15.0,40.0,0.3301523944856032,0.26204441758693864,0,0,17.31771952457285,9.263352678683269,8.05436684588958
12,random,15.0,40.0,0.9231028030381048,0.2512639696048563,0,0,26.753558069638917,22.308261666838305,4.4452964028006114
13,random,15.0,40.0,0.2093433170075426,0.5782881231855396,0,0,25.917165069554443,6.605552974165938,19.311612095388504
14,random,15.0,40.0,0.36193227281368223,0.0017496459415983212,0,0,10.015064974371983,9.962510001901009,0.052554972470974064
15,random,15.0,40.0,0.8790026048629968,0.4468404496679047,0,0,29.676968171609005,21.338057306985927,8.338910864623077
16,random,15.0,40.0,0.5689194590410572,0.31028793434710744,0,0,22.423535041467424,14.516228098903259,7.907306942564167
17,random,15.0,40.0,0.13674783327231121,0.47798668405498634,0,0,21.73394617177453,5.0084523319908465,16.725493839783685
18,random,15.0,40.0,0.47310282453684804,0.5868047673643351,0,0,28.59922545603678,12.408262139810656,16.190963316226124
19,random,15.0,40.0,0.6068074056336994,0.21336839114479722,0,0,20.609344350197844,15.349762923941388,5.259581426256457
20,random,15.0,40.0,0.5476806943645341,0.004650474086459355,0,0,14.169659844015687,14.048975276019751,0.12068456799593617
21,random,15.0,40.0,0.516325734939851,0.8306451257448546,0,0,35.48824493644402,13.359166168676722,22.1290787677673
22,random,15.0,40.0,0.2654169289660404,0.862318810624394,0,0,35.572059009857206,7.8391724372528895,27.732886572604315
23,random,15.0,40.0,0.8158337064942887,0.7749959495340428,0,0,35.48829562858676,19.94834154287435,15.539954085712415
24,random,15.0,40.0,0.7796939248185899,0.0038287331245462353,0,0,19.233082925688606,19.153266346008976,0.07981657967962821
25,random,15.0,40.0,0.4266743123003789,0.6873105146401463,0,0,31.052964121174007,11.386834870608336,19.66612925056567
26,random,15.0,40.0,0.4438430832998982,0.2654881561402611,0,0,19.26072596630792,11.76454783259776,7.49617813371016
27,random,15.0,40.0,0.5859861258057736,0.6234000701691271,0,0,30.54421401135386,14.891694767727019,15.65251924362684
28,random,15.0,40.0,0.034191018565483566,0.7178057602031357,0,0,29.48888607454243,2.7522024084406382,26.736683666101793
29,random,15.0,40.0,0.038084995594341864,0.7065420753716959,0,0,29.094478426989504,2.837869903075521,26.256608523913982
30,random,15.0,40.0,0.10587056901717473,0.9067858500693251,0,0,36.674972274693836,4.329152518377844,32.34581975631599
31,random,15.0,40.0,0.16806696525306208,0.7237852458111516,0,0,30.525136001705846,5.697473235567366,24.82766276613848
32,random,15.0,40.0,0.875661748405396,0.3010866413285087,0,0,26.905549630522977,21.26455846491871,5.640991165604265
33,random,15.0,40.0,0.08868318847999734,0.41976236751739715,0,0,19.083031078803216,3.9510301465599413,15.132000932243276
34,random,15.0,40.0,0.7705529655336558,0.24332760719035118,0,0,24.073684510005634,18.952165241740428,5.121519268265206
35,random,15.0,40.0,0.5989181599587122,0.5221878085157795,0,0,28.138885491250143,15.17619951909167,12.962685972158475
36,random,15.0,40.0,0.7235347409590156,0.8785403126307304,0,0,37.317898555596884,17.917764301098345,19.400134254498536
