batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,pred0,predictive_weight,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,structured_label,structured_policy,t_end,t_span,t_start,target_mode,target_psi_unit,target_seed,target_theta,validation
5,0.2,230,0.4291666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_early,10,0.06,8,1.0236699316060685,-0.5251760319802498,32,15.0,0.1,40.0,1.092984238479145,1.1830181915686286,0.9720158284246991,0.9425121963751414,1.274390737548111,0.0,0.0,0.31551737215297626,0.341507935679186,0.28059680009878857,0.27207983514584666,0.36788491768808385,0.25125531138541846,0,rmse_coverage_predictive,0.341507935679186,0.016835808005927315,0.0163247901087508,0.36788491768808385,30,30,717,230,short early,short_early,2.0,2.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.4075,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_late,10,0.06,8,1.042401004387775,-0.505490139056584,32,15.0,0.1,40.0,1.0370655548078713,1.1175348524263027,0.9449268474677288,0.9838929403769258,1.1019075789605282,0.0,1.0,0.29937503861780657,0.3226045239385573,0.27277688487499885,0.28402542699019523,0.3180933186674749,0.22683436570880722,0,rmse_coverage_predictive,0.3226045239385573,0.01636661309249993,0.017041525619411715,0.3180933186674749,30,30,717,230,short late,short_late,40.0,2.0,38.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.4116666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_early,10,0.06,8,0.9475378422171494,-0.4635252799638831,32,15.0,0.1,40.0,0.9209481427926164,1.0197795058880577,0.9722541139145757,0.7698013665272901,0.9219575848405421,1.0,0.0,0.2658548290755015,0.2943849861192669,0.2806655871946507,0.22222251309353638,0.26614622989455217,0.1987194614282306,0,rmse_coverage_predictive,0.2943849861192669,0.01683993523167904,0.013333350785612182,0.26614622989455217,30,30,717,230,long early,long_early,24.0,24.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.405,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_late,10,0.06,8,0.9824690166563528,-0.476916763350853,32,15.0,0.1,40.0,0.961010590935055,1.0428433672084156,0.975813285120287,0.8490657904608879,0.9763199209506296,1.0,1.0,0.2774198616852177,0.3010429493901973,0.28169303142150537,0.24510418134114803,0.2818392845880201,0.2064958698133091,0,rmse_coverage_predictive,0.3010429493901973,0.016901581885290323,0.01470625088046888,0.2818392845880201,30,30,717,230,long late,long_late,40.0,24.0,16.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.3958333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_medium_mid,10,0.06,8,1.0237351748091028,-0.4554830999817512,32,15.0,0.1,40.0,0.8804057527304409,0.96715047399718,0.8207740992301289,0.7581050219003419,0.9755934157941125,0.5,0.5,0.2541512491675076,0.27919229325457307,0.2369370735671938,0.21884606923408476,0.2816295606141787,0.19851830144116575,0,rmse_coverage_predictive,0.27919229325457307,0.014216224414031626,0.013130764154045085,0.2816295606141787,30,30,717,230,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.3358333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_early,10,0.06,8,0.891875654333319,-0.4571588408214658,32,15.0,0.1,40.0,0.9838496912920599,0.9134768762828577,0.9492602757257569,0.931409695477686,1.1412519176819391,0.0,0.0,0.28401294205480054,0.2636980602102032,0.27402783786064205,0.2688748192049347,0.32945105094342214,0.2113085703739436,1,rmse_coverage_predictive,0.2636980602102032,0.016441670271638523,0.016132489152296082,0.32945105094342214,30,30,10717,230,short early,short_early,2.0,2.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.25833333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_late,10,0.06,8,0.9164939942448846,-0.4100074737921291,32,15.0,0.1,40.0,0.8791014902981092,0.8653719513270274,0.9669576312050273,0.7453717677879608,0.9387046108724215,0.0,1.0,0.2537747410343073,0.2498113645239055,0.2791366243355927,0.2151702953893632,0.27098067988836777,0.18458292347742106,1,rmse_coverage_predictive,0.2498113645239055,0.01674819746013556,0.01291021772336179,0.27098067988836777,30,30,10717,230,short late,short_late,40.0,2.0,38.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.36833333333333335,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_early,10,0.06,8,0.8889008520276231,-0.4527894376781562,32,15.0,0.1,40.0,0.9415983109303266,0.9186368788776081,1.0206456943213151,0.8301332702338865,0.996977400288497,1.0,0.0,0.27181601914206055,0.2651876246537524,0.29463503318182194,0.23963883351639936,0.28780258521626856,0.19600641315437406,1,rmse_coverage_predictive,0.2651876246537524,0.017678101990909315,0.014378330010983962,0.28780258521626856,30,30,10717,230,long early,long_early,24.0,24.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.33083333333333337,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_late,10,0.06,8,0.902754665620875,-0.42889906864268884,32,15.0,0.1,40.0,0.8865164958058235,0.8316153214386315,0.8869367824159065,0.8289924416054625,0.9985214377632936,1.0,1.0,0.255915268747268,0.24006666484740555,0.25603659504100207,0.23930950465853948,0.2882483104421249,0.1878571649159066,1,rmse_coverage_predictive,0.24006666484740555,0.015362195702460123,0.014358570279512367,0.2882483104421249,30,30,10717,230,long late,long_late,40.0,24.0,16.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,230,0.2808333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.9136044976439545,-0.41518111686952625,32,15.0,0.1,40.0,0.8785388950377389,0.7764717404603302,0.8896492242461173,0.8458402290413228,1.0021943864031853,0.5,0.5,0.2536123337717975,0.22414808418645446,0.2568196095514188,0.24417304196421125,0.28930859938510545,0.1832988718958802,1,rmse_coverage_predictive,0.22414808418645446,0.015409176573085126,0.014650382517852674,0.28930859938510545,30,30,10717,230,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
