method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
random,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
fixed_dumb,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
bo,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
bo_marginal_random,160,15.0,0.0,40.0,0.0,0,26.074909990804578,8.295222763886542,12.836468779896517,6.127934990141131,13.238441210908055,8.347175533788345
random,10,15.0,0.0,40.0,0.0,1,27.94672955053985,8.417794192756348,14.623139884217988,6.123289066530064,13.323589666321865,8.859618947111992
fixed_dumb,10,15.0,0.0,40.0,0.0,1,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,1,28.408921005811816,8.117625047973467,15.797544726418778,7.129246955616426,12.611376279393033,0.9883780923570384
bo_marginal_random,10,15.0,0.0,40.0,0.0,1,32.31459302665694,9.548277075120126,17.645035467225025,8.028673515328684,14.669557559431913,9.501159580713875
random,10,15.0,0.0,40.0,0.0,2,25.23822237409529,8.131037559075155,15.199360290154747,5.876415745852671,10.038862083940542,7.247442043749305
fixed_dumb,10,15.0,0.0,40.0,0.0,2,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,2,25.701088237279247,5.409792279440902,15.395601060185834,6.727303289383482,10.305487177093417,1.3175110099425795
bo_marginal_random,10,15.0,0.0,40.0,0.0,2,28.89714991824234,8.48197805460442,12.051921439871483,7.260556794025287,16.845228478370863,5.707153443491483
random,10,15.0,0.0,40.0,0.0,3,26.81309734379547,10.132471726643988,12.645132507184464,6.988515008777166,14.16796483661101,9.414686025207788
fixed_dumb,10,15.0,0.0,40.0,0.0,3,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,3,27.982656299420647,7.691360341582298,5.453160589912477,3.2151371808898737,22.529495709508165,10.906497522472172
bo_marginal_random,10,15.0,0.0,40.0,0.0,3,32.63184539729882,6.340409759190455,16.094416502816436,7.959993502387461,16.537428894482385,8.60221760394608
random,10,15.0,0.0,40.0,0.0,4,26.46139497665605,6.434288711613339,12.060305094149957,6.077315154901657,14.40108988250609,6.990625892823709
fixed_dumb,10,15.0,0.0,40.0,0.0,4,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,4,21.608934848215696,1.317638890377351,7.699177598602484,0.9691201721998679,13.909757249613213,2.286759062577218
bo_marginal_random,10,15.0,0.0,40.0,0.0,4,32.7743085176273,7.539658403396778,14.357772034811381,9.564323707343805,18.416536482815914,10.180776011184902
random,10,15.0,0.0,40.0,0.0,5,25.112735874527242,6.485241953556012,16.27133663393297,5.6764758835250975,8.841399240594269,4.863818606981451
fixed_dumb,10,15.0,0.0,40.0,0.0,5,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,5,37.3594151195702,1.6853984785672618,12.988231780652166,10.750208371629565,24.371183338918037,9.064809893062304
bo_marginal_random,10,15.0,0.0,40.0,0.0,5,30.90385871732475,6.139048417388371,14.068029524501691,7.530779717619209,16.835829192823063,9.368110460537034
random,10,15.0,0.0,40.0,0.0,6,24.293958872846773,8.718279620963964,13.71915230478194,6.159782684004076,10.574806568064833,7.369194186286732
fixed_dumb,10,15.0,0.0,40.0,0.0,6,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,6,35.41079684262617,4.299916325906015,18.29813738141906,3.8247669681502563,17.11265946120711,8.12468329405627
bo_marginal_random,10,15.0,0.0,40.0,0.0,6,28.272904880176906,8.348950617331889,15.201967481136814,6.901890410998791,13.07093739904009,7.879471261267106
