batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,predictive_weight,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,target_mode,target_psi_unit,target_seed,target_theta,validation
5,0.2,80,0.24083333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,1.0115213006399784,-0.43209993826002435,32,0.1,0.937869052153403,0.8712125995263799,0.8354322013008453,0.913496845982798,1.1313345618035886,0.27073947486269323,0.25149741442897455,0.24116850315536234,0.2637038249660213,0.32658815690041465,0.2063798080767875,0,rmse_coverage_predictive,0.25149741442897455,0.01447011018932174,0.015822229497961277,0.32658815690041465,0,30,717,80,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,85,0.34416666666666673,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.9700826642191654,-0.4805847690957641,32,0.1,1.030690905972222,0.8833844220353169,0.9773507902246432,1.058330538861477,1.203697872767451,0.29753483600718084,0.2550111169300061,0.2821368709144456,0.30551371075163775,0.34747764543263393,0.2158668381562395,0,rmse_coverage_predictive,0.2550111169300061,0.016928212254866737,0.018330822645098263,0.34747764543263393,1,30,717,85,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,90,0.2816666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,1.003160934117174,-0.4479607732923926,32,0.1,0.9603460083360774,1.0436907114686709,0.9387041924285372,0.8583703429595634,1.0006187864875384,0.2772280132140085,0.30128755660857465,0.27098055909402313,0.24779017428604766,0.2888537628673885,0.20898329936371782,0,rmse_coverage_predictive,0.30128755660857465,0.016258833545641387,0.014867410457162859,0.2888537628673885,2,30,717,90,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,95,0.3383333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.9841558612259808,-0.4642798523697851,32,0.1,0.9743857340143348,1.0144160519323555,0.9881538094079172,0.9062043564707358,0.9887687182463305,0.28128093291385364,0.29283669032671145,0.28525543393120756,0.26159866457459546,0.2854329428229001,0.204795378570943,0,rmse_coverage_predictive,0.29283669032671145,0.017115326035872454,0.015695919874475727,0.2854329428229001,3,30,717,95,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,100,0.3275,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.9477678739599485,-0.4563097669433556,32,0.1,0.9687636586361733,0.9841455554367052,0.9138059215436722,0.8649052447112093,1.1121979128531068,0.2796579795473607,0.2840983506765778,0.26379304739515663,0.24967663792876793,0.3210638821889406,0.21463272118130014,0,rmse_coverage_predictive,0.2840983506765778,0.015827582843709397,0.014980598275726075,0.3210638821889406,4,30,717,100,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,105,0.3958333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.9617397566194826,-0.47922285352649585,32,0.1,0.9841185141559433,1.024593598649756,0.9432576674216184,0.8754833491228241,1.0931394414295748,0.28409054453121424,0.2957746949952021,0.27229503410052497,0.25273027364354883,0.3155621753855811,0.21654042265250809,0,rmse_coverage_predictive,0.2957746949952021,0.016337702046031497,0.01516381641861293,0.3155621753855811,5,30,717,105,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,110,0.4008333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,1.0125617869783272,-0.49135713992574565,32,0.1,1.004217520506141,1.0543736526286516,0.9977167099546042,0.9146210593011429,1.0501586601401653,0.2898926278945796,0.3043714560858005,0.28801600553363926,0.2640283573970078,0.3031546925618706,0.2151129598587127,0,rmse_coverage_predictive,0.3043714560858005,0.017280960332018355,0.015841701443820466,0.3031546925618706,6,30,717,110,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,115,0.3333333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.9911306515416225,-0.45724882541818146,32,0.1,0.9519435309743638,0.9583437975710243,0.984186225127173,0.8428365449158097,1.0224075562834483,0.2748024269306859,0.2766500247519196,0.2841100910049475,0.2433059530449984,0.2951436389208782,0.20257634522621845,0,rmse_coverage_predictive,0.2766500247519196,0.01704660546029685,0.014598357182699905,0.2951436389208782,7,30,717,115,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,120,0.4025,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,1.0020095867931378,-0.47841566557479925,32,0.1,0.9615989520022671,0.9677390793819589,0.9584609977444601,0.8747888369207817,1.0454068939618673,0.27758970689548546,0.2793622089932473,0.2766838575277607,0.25252978524014646,0.30178297582078734,0.20592558073661965,0,rmse_coverage_predictive,0.2793622089932473,0.01660103145166564,0.015151787114408788,0.30178297582078734,8,30,717,120,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,125,0.39083333333333337,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.9363132130109658,-0.46574130550984744,32,0.1,0.950555201994,0.9484424494259494,0.9196270735953926,0.8687333214440514,1.0654179635106065,0.2744016508754175,0.27379175174347,0.26547346924718385,0.2507817084948604,0.3075596740161558,0.2061765019741368,0,rmse_coverage_predictive,0.27379175174347,0.01592840815483103,0.015046902509691623,0.3075596740161558,9,30,717,125,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,130,0.32083333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.9628817115804378,-0.438020322663472,32,0.1,0.9059450809269463,0.9395080210320623,0.8439748224717194,0.8165999437987197,1.0236975364052836,0.2615238181720949,0.2712126044243369,0.24363454547165692,0.23573209868621206,0.2955160241061736,0.2008106919420041,0,rmse_coverage_predictive,0.2712126044243369,0.014618072728299415,0.014143925921172723,0.2955160241061736,10,30,717,130,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
