batch,bo_category_policies,bo_design_mode,bo_random_fraction,budget,categorical_ucb_weight,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,final_score_only,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,pred0,predictive_timeout_seconds,predictive_weight,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,structured_label,structured_policy,t_end,t_span,t_start,target_mode,target_psi_unit,target_seed,target_theta,validation
14,,categorical,0.2,500,1.0,0.49416666666666664,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_short_early,10,0.06,8,1.0651383029284862,-0.6137930810413624,32,15.0,0.5,0.1,40.0,1.329305984806986,1.2919069440628776,1.2748632108609474,1.1150703231885277,1.635383461115591,0.0,0.0,0.38373758408184705,0.37294141096132466,0.36802130898525937,0.3218930756291298,0.4720945407516743,0.3011723546521894,0,rmse_coverage_predictive,0.37294141096132466,0.02208127853911556,0.019313584537747785,0.4720945407516743,30,30,717,500,short early,short_early,2.0,2.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.4183333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_short_late,10,0.06,8,1.083743227264342,-0.5624850771372464,32,15.0,0.5,0.1,40.0,1.2107985038894287,1.1868747520868081,1.1395577527701235,1.0909439937913537,1.4258175169094294,0.0,1.0,0.3495274210774789,0.34262122880584456,0.3289619876594779,0.3149284042431217,0.41159806360147144,0.26811793001856216,0,rmse_coverage_predictive,0.34262122880584456,0.019737719259568673,0.018895704254587302,0.41159806360147144,30,30,717,500,short late,short_late,40.0,2.0,38.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.38166666666666665,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_long_early,10,0.06,8,1.0170473659845012,-0.4677420838702349,32,15.0,0.5,0.1,40.0,0.9374575367738681,0.942196815784955,1.0258445501848596,0.8792701671767408,0.902518613948917,1.0,0.0,0.2706206806051181,0.27198879261152603,0.29613581359796964,0.25382343385494927,0.2605346823560276,0.18868218380191676,0,rmse_coverage_predictive,0.27198879261152603,0.01776814881587818,0.015229406031296955,0.2605346823560276,30,30,717,500,long early,long_early,24.0,24.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.41333333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_long_late,10,0.06,8,1.011111293625556,-0.5101641438479972,32,15.0,0.5,0.1,40.0,1.059044041258418,1.037141123275178,1.1105077355476545,1.018817684211988,1.0697096219988507,1.0,1.0,0.30571968115210835,0.29939685335527744,0.32057597002780003,0.2941073321174712,0.30879856910788467,0.21545092083432296,0,rmse_coverage_predictive,0.29939685335527744,0.019234558201668,0.01764643992704827,0.30879856910788467,30,30,717,500,long late,long_late,40.0,24.0,16.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.4008333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,1.0495775342795475,-0.45974668309750916,32,15.0,0.5,0.1,40.0,0.881893054951036,0.9022444493235653,0.9081491250608311,0.8036626435709365,0.913516001848811,0.5,0.5,0.25458059633622104,0.2604555378459031,0.262160070909097,0.23199742180166325,0.2637093547882209,0.1856211824798186,0,rmse_coverage_predictive,0.2604555378459031,0.01572960425454582,0.013919845308099794,0.2637093547882209,30,30,717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.38916666666666666,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_short_early,10,0.06,8,1.0348488594235898,-0.5190071840172825,32,15.0,0.5,0.1,40.0,1.1023832442476502,1.1460073824850752,0.9528608747596846,0.9965689110325687,1.3140958087132724,0.0,0.0,0.3182306314082569,0.33082383538552834,0.2750672412713831,0.28768466452533287,0.37934678445078346,0.2519517418895262,1,rmse_coverage_predictive,0.33082383538552834,0.016504034476282986,0.017261079871519973,0.37934678445078346,30,30,10717,500,short early,short_early,2.0,2.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.39000000000000007,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_short_late,10,0.06,8,1.0299753845335125,-0.5435937621100173,32,15.0,0.5,0.1,40.0,1.1885201825167209,1.075322462773236,1.0003448650334894,1.1766618025836615,1.5017515996764967,0.0,1.0,0.34309622365666603,0.31041885667388963,0.2887746885547725,0.3396730042334136,0.4335183451645883,0.2669333198698532,1,rmse_coverage_predictive,0.31041885667388963,0.01732648131328635,0.020380380254004817,0.4335183451645883,30,30,10717,500,short late,short_late,40.0,2.0,38.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.45249999999999996,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_long_early,10,0.06,8,0.9830377293517956,-0.5005464423705117,32,15.0,0.5,0.1,40.0,1.0015329856557975,1.0884571498537994,1.116087338294139,0.7786288709042274,1.0229585835710242,1.0,0.0,0.2891176694353322,0.314210514234732,0.32218666260162704,0.22477079410768502,0.2953027067972846,0.21592099831712153,1,rmse_coverage_predictive,0.314210514234732,0.019331199756097622,0.013486247646461101,0.2953027067972846,30,30,10717,500,long early,long_early,24.0,24.0,0.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.3483333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_long_late,10,0.06,8,0.9441001168254498,-0.43226611502118334,32,15.0,0.5,0.1,40.0,0.8687023576079457,0.9698081941776152,0.8681632271330073,0.749589945124554,0.8872480639966062,1.0,1.0,0.250772770005305,0.2799595109853755,0.250617136442888,0.21638797829974904,0.25612645429320746,0.1899820821304041,1,rmse_coverage_predictive,0.2799595109853755,0.01503702818657328,0.012983278697984942,0.25612645429320746,30,30,10717,500,long late,long_late,40.0,24.0,16.0,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,,categorical,0.2,500,1.0,0.3575000000000001,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.945605441047071,-0.44915945615551645,32,15.0,0.5,0.1,40.0,0.9187625821083624,0.8600605720453585,1.0213426597000674,0.7851763315467011,1.0084707651413225,0.5,0.5,0.2652239120508093,0.24827810139488565,0.29483622975634116,0.22666088318990535,0.29112043386210523,0.1916318185051434,1,rmse_coverage_predictive,0.24827810139488565,0.01769017378538047,0.013599652991394321,0.29112043386210523,30,30,10717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
