batch_index,method,pred0,prey0,psi0_unit,psi1_unit,replicate,round,t_end,t_span,t_start
0,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
1,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
2,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
3,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
4,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
5,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
6,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
7,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
8,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
9,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
10,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
11,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
12,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
13,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
14,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
15,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
16,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
17,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
18,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
19,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
20,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
21,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
22,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
23,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
24,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
25,structured_short_early,15.0,40.0,0.0,0.0,0,30,2.0,2.0,0.0
