method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
random,160,15.0,0.0,40.0,0.0,0,26.6375,13.056601539068273,11.96875,9.103860359072957,14.66875,12.542040242221358
fixed_dumb,160,15.0,0.0,40.0,0.0,0,26.6375,13.056601539068273,11.96875,9.103860359072957,14.66875,12.542040242221358
bo,160,15.0,0.0,40.0,0.0,0,26.6375,13.056601539068273,11.96875,9.103860359072957,14.66875,12.542040242221358
bo_marginal_random,160,15.0,0.0,40.0,0.0,0,26.6375,13.056601539068273,11.96875,9.103860359072957,14.66875,12.542040242221358
random,28,15.0,0.0,40.0,0.0,1,26.5,12.482130083786638,12.607142857142858,9.51817541681735,13.892857142857142,12.381118359693307
fixed_dumb,28,15.0,0.0,40.0,0.0,1,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,1,23.75,10.20372831020953,18.107142857142858,6.224027667689409,5.642857142857143,7.654197194603595
bo_marginal_random,28,15.0,0.0,40.0,0.0,1,24.732142857142858,13.465221168716425,9.464285714285714,7.80788128778106,15.267857142857142,13.782417722058279
random,28,15.0,0.0,40.0,0.0,2,24.839285714285715,12.793730029245753,9.464285714285714,8.343013085626726,15.375,13.799343281475391
fixed_dumb,28,15.0,0.0,40.0,0.0,2,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,2,21.196428571428573,8.337029367434745,12.607142857142858,2.0413455946347483,8.589285714285714,9.404647000503614
bo_marginal_random,28,15.0,0.0,40.0,0.0,2,26.053571428571427,11.226037404905016,15.357142857142858,6.80448531544916,10.696428571428571,12.334865861302527
random,28,15.0,0.0,40.0,0.0,3,24.464285714285715,13.052044565773546,13.0,8.315218406202998,11.464285714285714,11.205808898121745
fixed_dumb,28,15.0,0.0,40.0,0.0,3,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,3,15.607142857142858,12.905118823038194,7.892857142857143,5.48595144576637,7.714285714285714,7.592793307082817
bo_marginal_random,28,15.0,0.0,40.0,0.0,3,27.785714285714285,12.254320354346005,16.535714285714285,7.80788128778106,11.25,11.37862971915838
random,28,15.0,0.0,40.0,0.0,4,26.482142857142858,12.343652318135844,13.0,9.296696802013683,13.482142857142858,10.596901621681303
fixed_dumb,28,15.0,0.0,40.0,0.0,4,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,4,30.035714285714285,9.306227342319701,3.5714285714285716,5.66586629001484,26.464285714285715,11.733596887500752
bo_marginal_random,28,15.0,0.0,40.0,0.0,4,25.375,11.36302352243577,16.142857142857142,8.240640949908334,9.232142857142858,10.883705171737525
random,28,15.0,0.0,40.0,0.0,5,25.142857142857142,13.82212069141936,12.214285714285714,9.718748974670198,12.928571428571429,13.239358452919763
fixed_dumb,28,15.0,0.0,40.0,0.0,5,2.0,0.0,2.0,0.0,0.0,0.0
bo,28,15.0,0.0,40.0,0.0,5,26.017857142857142,13.247966247461441,18.107142857142858,5.48595144576637,7.910714285714286,7.923804068650824
bo_marginal_random,28,15.0,0.0,40.0,0.0,5,24.214285714285715,10.74163176902022,13.392857142857142,9.052778917130858,10.821428571428571,13.218097905708598
random,28,15.0,0.0,40.0,0.0,6,29.0,11.891623702662066,13.392857142857142,9.518175416817348,15.607142857142858,11.532839093259751
