batch_index,method,pred0,prey0,psi0_unit,psi1_unit,replicate,round,t_end,t_span,t_start
0,random,15.0,40.0,1.0,1.0,0,0,40.0,24.0,16.0
1,random,15.0,40.0,1.0,0.5,0,0,32.0,24.0,8.0
2,random,15.0,40.0,0.0,1.0,0,0,40.0,2.0,38.0
3,random,15.0,40.0,0.0,0.0,0,0,2.0,2.0,0.0
4,random,15.0,40.0,0.5,1.0,0,0,40.0,13.0,27.0
5,random,15.0,40.0,0.5,0.0,0,0,13.0,13.0,0.0
6,random,15.0,40.0,1.0,0.5,0,0,32.0,24.0,8.0
7,random,15.0,40.0,0.5,0.0,0,0,13.0,13.0,0.0
8,random,15.0,40.0,0.5,0.5,0,0,26.5,13.0,13.5
9,random,15.0,40.0,0.0,0.0,0,0,2.0,2.0,0.0
10,random,15.0,40.0,1.0,1.0,0,0,40.0,24.0,16.0
11,random,15.0,40.0,0.0,0.5,0,0,21.0,2.0,19.0
12,random,15.0,40.0,0.5,1.0,0,0,40.0,13.0,27.0
13,random,15.0,40.0,0.0,1.0,0,0,40.0,2.0,38.0
14,random,15.0,40.0,0.5,1.0,0,0,40.0,13.0,27.0
15,random,15.0,40.0,0.0,1.0,0,0,40.0,2.0,38.0
16,random,15.0,40.0,0.5,1.0,0,0,40.0,13.0,27.0
17,random,15.0,40.0,0.0,1.0,0,0,40.0,2.0,38.0
18,random,15.0,40.0,0.0,1.0,0,0,40.0,2.0,38.0
19,random,15.0,40.0,1.0,1.0,0,0,40.0,24.0,16.0
20,random,15.0,40.0,0.5,1.0,0,0,40.0,13.0,27.0
21,random,15.0,40.0,0.5,1.0,0,0,40.0,13.0,27.0
22,random,15.0,40.0,0.0,0.0,0,0,2.0,2.0,0.0
23,random,15.0,40.0,0.5,1.0,0,0,40.0,13.0,27.0
24,random,15.0,40.0,0.0,0.0,0,0,2.0,2.0,0.0
25,random,15.0,40.0,0.5,1.0,0,0,40.0,13.0,27.0
26,random,15.0,40.0,1.0,0.5,0,0,32.0,24.0,8.0
27,random,15.0,40.0,1.0,0.0,0,0,24.0,24.0,0.0
28,random,15.0,40.0,1.0,0.5,0,0,32.0,24.0,8.0
