bo_design_mode,coverage_error,coverage_weight,design_policy,objective,posterior_mean_predictive_rmse,pred0,predictive_weight,prey0,proposal_reason,psi0_unit,psi1_unit,range_normalized_rmse,replicate,reward_delta_objective,reward_mode,round,simulations,t_end,t_span,t_start,validation_log_posterior
categorical,0.27,0.25,medium_early,-0.4636823512703734,1.0278143529296522,15.0,0.1,40.0,try_unobserved_category,0.5,0.0,0.29340091597740814,0,-0.05344326837776042,rmse_coverage_predictive,1,94,13.0,13.0,0.0,
categorical,0.3791666666666667,0.25,medium_early,-0.49611955686004844,1.0204189899466498,15.0,0.1,40.0,exploit_best_observed,0.5,0.0,0.2992859911987168,0,-0.032437205589675056,rmse_coverage_predictive,2,108,13.0,13.0,0.0,
categorical,0.365,0.25,short_early,-0.49813513555943195,1.0566002930116118,15.0,0.1,40.0,try_unobserved_category,0.0,0.0,0.30122510625827076,0,-0.0020155786993835134,rmse_coverage_predictive,3,122,2.0,2.0,0.0,
categorical,0.375,0.25,short_middle,-0.5439728667822815,1.1267852445124753,15.0,0.1,40.0,try_unobserved_category,0.0,0.5,0.337544342331034,0,-0.045837731222849565,rmse_coverage_predictive,4,136,21.0,2.0,19.0,
categorical,0.36083333333333334,0.25,long_late,-0.49364522303092756,1.0700098727651768,15.0,0.1,40.0,try_unobserved_category,1.0,1.0,0.29643590242107654,0,0.050327643751353957,rmse_coverage_predictive,5,150,40.0,24.0,16.0,
categorical,0.28750000000000003,0.25,long_late,-0.47504242033520205,1.068690647876182,15.0,0.1,40.0,exploit_best_observed,1.0,1.0,0.2962983555475838,0,0.018602802695725507,rmse_coverage_predictive,6,164,40.0,24.0,16.0,
categorical,0.4091666666666667,0.25,long_middle,-0.514622146313549,1.0874248987255732,15.0,0.1,40.0,try_unobserved_category,1.0,0.5,0.30358798977432494,0,-0.039579725978346914,rmse_coverage_predictive,7,178,32.0,24.0,8.0,
categorical,0.39666666666666667,0.25,medium_middle,-0.49987871461156375,1.0479536723808525,15.0,0.1,40.0,try_unobserved_category,0.5,0.5,0.2959166807068118,0,0.014743431701985221,rmse_coverage_predictive,8,192,26.5,13.0,13.5,
categorical,0.33166666666666667,0.25,medium_late,-0.4616972743358264,1.131940375891208,15.0,0.1,40.0,try_unobserved_category,0.5,1.0,0.2655865700800389,0,0.03818144027573733,rmse_coverage_predictive,9,206,40.0,13.0,27.0,
categorical,0.37166666666666665,0.25,long_early,-0.4859068832214149,1.0034647119367952,15.0,0.1,40.0,try_unobserved_category,1.0,0.0,0.29264374536106874,0,-0.024209608885588485,rmse_coverage_predictive,10,220,24.0,24.0,0.0,
