batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,predictive_weight,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,target_mode,target_psi_unit,target_seed,target_theta,validation
14,0.2,80,0.24083333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,1.0115213006399784,-0.43209993826002435,32,0.1,0.937869052153403,0.8712125995263799,0.8354322013008453,0.913496845982798,1.1313345618035886,0.27073947486269323,0.25149741442897455,0.24116850315536234,0.2637038249660213,0.32658815690041465,0.2063798080767875,0,rmse_coverage_predictive,0.25149741442897455,0.01447011018932174,0.015822229497961277,0.32658815690041465,0,30,717,80,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,94,0.42416666666666675,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9875715585948769,-0.5042839341712404,32,0.1,1.0374468589594534,0.9064557788590635,1.017150854669393,1.018630637425414,1.207550164883943,0.29948511164508607,0.26167124396638614,0.29362615987491597,0.2940533363611814,0.3485897063778608,0.2182935435271255,0,rmse_coverage_predictive,0.26167124396638614,0.01761756959249496,0.017643200181670884,0.3485897063778608,1,30,717,94,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,108,0.4283333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,1.0259587304234883,-0.49610482498322916,32,0.1,0.9922074480352341,1.035322041470563,1.0315856524845615,0.8774259825527311,1.0244961156330803,0.286425618607547,0.29887172967049125,0.2977931270770587,0.2532910636103956,0.2957465540722425,0.21055910609364428,0,rmse_coverage_predictive,0.29887172967049125,0.01786758762462352,0.015197463816623735,0.2957465540722425,2,30,717,108,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,122,0.42,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,1.1821984234541258,-0.5282537088661112,32,0.1,1.0566683096860663,0.9724006004189735,0.9676785931961184,1.0614008752693391,1.2251931698598342,0.30503386652069864,0.28070787420602406,0.27934474813540866,0.30640004052742864,0.35368280321393314,0.22611243222888947,0,rmse_coverage_predictive,0.28070787420602406,0.01676068488812452,0.01838400243164572,0.35368280321393314,3,30,717,122,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,136,0.33916666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,1.0342939641417261,-0.4468672245073768,32,0.1,0.8959765855468489,0.9621741998021909,0.9227526811819622,0.7394435328067399,0.9595359283965027,0.2586461614265375,0.2777557666315539,0.26637575443792744,0.21345896135824957,0.2769941632784192,0.1964010610727735,0,rmse_coverage_predictive,0.2777557666315539,0.015982545266275645,0.012807537681494974,0.2769941632784192,4,30,717,136,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,150,0.35000000000000003,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9557325795949431,-0.44191884763281564,32,0.1,0.8966674252586367,0.9146596845711846,0.9107338510696379,0.8280938941233175,0.9331822712704071,0.2588455896733213,0.26403950755203587,0.26290621703758,0.2390501163431914,0.269386517760478,0.1889050754962188,0,rmse_coverage_predictive,0.26403950755203587,0.0157743730222548,0.014343006980591483,0.269386517760478,5,30,717,150,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,164,0.25583333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9183414674053167,-0.4112037359996058,32,0.1,0.8847705441767211,0.8952294555274535,0.8698225162133647,0.8097963653411194,0.9642338396249464,0.25541125592574077,0.2584304835676287,0.2510961319414919,0.23376807475923791,0.27835033343460464,0.19018999143557966,0,rmse_coverage_predictive,0.2584304835676287,0.015065767916489512,0.014026084485554275,0.27835033343460464,6,30,717,164,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,178,0.32416666666666666,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,1.014654059510564,-0.44106384928541215,32,0.1,0.8956669476593533,0.9098026488162743,0.936048946281506,0.7862052490163502,0.9506109465232826,0.25855677666768906,0.2626374021017553,0.27021405555514655,0.2269579060789433,0.2744177429349111,0.190218160619113,0,rmse_coverage_predictive,0.2626374021017553,0.01621284333330879,0.013617474364736598,0.2744177429349111,7,30,717,178,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,192,0.32833333333333337,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9223605115292616,-0.41945569526467774,32,0.1,0.849177090096429,0.8890370745742019,0.856071100199035,0.7648551005647325,0.8867450850477472,0.24513631077841824,0.25664289716248645,0.24712644007268597,0.2207946491010533,0.25598125677744726,0.18151262958906794,0,rmse_coverage_predictive,0.25664289716248645,0.014827586404361158,0.013247678946063197,0.25598125677744726,8,30,717,192,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,206,0.3016666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.8834946222745421,-0.3920927291296191,32,0.1,0.7909465446547017,0.8479150252999068,0.7458439654565225,0.7304572779535112,0.8395699099088664,0.22832660023549822,0.2447719840534148,0.21530660711489064,0.2108648530289905,0.24236295674469696,0.1724674478678469,0,rmse_coverage_predictive,0.2447719840534148,0.012918396426893438,0.01265189118173943,0.24236295674469696,9,30,717,206,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,220,0.3641666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9421062271829713,-0.4324322946526622,32,0.1,0.8562566554775926,0.8639603078012423,0.9086125384408981,0.7659181651881136,0.8865356104801163,0.24718000526769837,0.24940385813909963,0.26229384682896084,0.22110152942429084,0.2559207866784422,0.17897024593700905,0,rmse_coverage_predictive,0.24940385813909963,0.01573763080973765,0.01326609176545745,0.2559207866784422,10,30,717,220,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,234,0.28583333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9787934240136188,-0.4124113671229231,32,0.1,0.8420319669354562,0.8943579126182573,0.8036740887501939,0.7737293347621087,0.8963665316112651,0.24307369138822787,0.25817889080101136,0.2320007257403258,0.22335641985240678,0.2587587291591676,0.1830203433423645,0,rmse_coverage_predictive,0.25817889080101136,0.013920043544419548,0.013401385191144406,0.2587587291591676,11,30,717,234,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,248,0.3491666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9780690557706736,-0.43419432810467706,32,0.1,0.8628930102018525,0.8327429250285743,0.8267151632940005,0.8247975950570449,0.9673163574277902,0.24909575586094304,0.2403921759655019,0.23865211103546832,0.2380985567665704,0.2792401796762315,0.184507859535341,0,rmse_coverage_predictive,0.2403921759655019,0.014319126662128099,0.014285913405994223,0.2792401796762315,12,30,717,248,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,262,0.32083333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9493806946218246,-0.42844909940657244,32,0.1,0.8774662804491099,0.8512768238308683,0.7908728162826162,0.8609097513372359,1.0068057303457194,0.25330269661105664,0.24574245169682077,0.22830531668776297,0.24852323834126347,0.29063977971837945,0.19057205182302908,0,rmse_coverage_predictive,0.24574245169682077,0.013698319001265778,0.014911394300475807,0.29063977971837945,13,30,717,262,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,276,0.26500000000000007,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9279920301056845,-0.38877201236536496,32,0.1,0.7957831549199329,0.8013529620122213,0.7355117300447844,0.7717351075412737,0.8745328200814521,0.2297228093547965,0.23133067416682998,0.21232394766674184,0.2227807360410196,0.2524558795445945,0.1714561297398611,0,rmse_coverage_predictive,0.23133067416682998,0.01273943686000451,0.013366844162461176,0.2524558795445945,14,30,717,276,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,290,0.2975,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,500,80,0.04,random,10,0.06,8,0.9513841477587169,-0.4243018601367865,32,0.1,0.8826130650931824,0.9468794012578261,0.8237290553176642,0.819936119416656,0.9399076843805833,0.2547884453609148,0.2733405386031588,0.23779009591348477,0.23669516963175175,0.2713279772952638,0.19283358676975446,0,rmse_coverage_predictive,0.2733405386031588,0.014267405754809085,0.014201710177905105,0.2713279772952638,15,30,717,290,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
