batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,final_score_only,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,pred0,predictive_timeout_seconds,predictive_weight,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,structured_label,structured_policy,t_end,t_span,t_start,target_mode,target_psi_unit,target_seed,target_theta,validation
14,0.2,500,0.37916666666666665,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.9098024740345192,-0.42649034335754343,32,15.0,0.5,0.1,40.0,0.8338730996879915,0.896271097599724,0.8564142684116637,0.7006666052687103,0.8821404274718682,0.5,0.5,0.24071842928742482,0.25873117973304105,0.24722550420265524,0.20226502658203557,0.25465200663196735,0.18176687100170516,0,rmse_coverage_predictive,0.25873117973304105,0.014833530252159314,0.012135901594922133,0.25465200663196735,30,30,717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.42333333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.9194745320920887,-0.47849674169152856,32,15.0,0.5,0.1,40.0,0.9724285936265409,0.8434731083788444,1.0540696345280882,0.8420670912427413,1.15010454035649,0.5,0.5,0.28071595514898634,0.24348971308836811,0.3042836936197011,0.2430838309023609,0.3320065829855152,0.20619266079309786,1,rmse_coverage_predictive,0.24348971308836811,0.018257021617182064,0.014585029854141654,0.3320065829855152,30,30,10717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.38916666666666666,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,1.0261256452471268,-0.46887470623163613,32,15.0,0.5,0.1,40.0,0.9317410570113226,0.918365236992488,1.0528586017340875,0.8418024132210662,0.9139379760976485,0.5,0.5,0.2689704750402568,0.2651092083960037,0.3039340985648942,0.2430074249388296,0.2638311682612996,0.18737323747264642,2,rmse_coverage_predictive,0.2651092083960037,0.01823604591389365,0.014580445496329775,0.2638311682612996,30,30,20717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.3866666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.8456100987114297,-0.43664773108394217,32,15.0,0.5,0.1,40.0,0.8848010234918309,0.8674312107002987,1.0003965822678367,0.7473466450705581,0.9240296559286302,0.5,0.5,0.25542005454613254,0.25040582150065027,0.28878961803435854,0.21574039335472525,0.266744385294796,0.18325081079399583,3,rmse_coverage_predictive,0.25040582150065027,0.017327377082061512,0.012944423601283514,0.266744385294796,30,30,30717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.42750000000000005,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.9883144033996738,-0.4803846611042497,32,15.0,0.5,0.1,40.0,0.951513268192715,1.0348898925600818,1.1498436928868563,0.7454735312524119,0.8758459560715101,0.5,0.5,0.27467822076428233,0.2987469790255931,0.33193128280710993,0.21519967197116047,0.2528349492532658,0.1960475901611523,4,rmse_coverage_predictive,0.2987469790255931,0.019915876968426595,0.012911980318269628,0.2528349492532658,30,30,40717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.375,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,1.0238431841570077,-0.4335835839608026,32,15.0,0.5,0.1,40.0,0.8225483842880608,0.8388385890021649,0.8354062860934489,0.7023433625515355,0.9136052995050941,0.5,0.5,0.23744926554510182,0.2421518425835229,0.24116102207937914,0.20274906471633797,0.2637351328011674,0.17927011191130968,5,rmse_coverage_predictive,0.2421518425835229,0.014469661324762748,0.012164943882980278,0.2637351328011674,30,30,50717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.4175,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.9541527459474143,-0.4827206594317537,32,15.0,0.5,0.1,40.0,0.9800996030854406,0.9393363481594483,0.9891894684871089,0.9034554257816031,1.0884171699136025,0.5,0.5,0.28293038483701227,0.2711630467347288,0.28555440295528756,0.2608051166379183,0.31419897302011457,0.20783936755018126,6,rmse_coverage_predictive,0.2711630467347288,0.017133264177317253,0.015648306998275095,0.31419897302011457,30,30,60717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.4691666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,1.000671265097412,-0.49209788967825147,32,15.0,0.5,0.1,40.0,0.9517241479335237,1.1868019631734255,0.8778359997258407,0.7735246433420715,0.968733985492757,0.5,0.5,0.2747390965018436,0.3426002164564768,0.25340942537302924,0.2232973305291771,0.27964941364869117,0.22135344123988857,7,rmse_coverage_predictive,0.3426002164564768,0.015204565522381752,0.013397839831750627,0.27964941364869117,30,30,70717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.4175,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.9150856336759765,-0.4665321539200111,32,15.0,0.5,0.1,40.0,0.9375542196673721,1.122112365729322,1.0215443342386015,0.7506650735778503,0.8558951051237147,0.5,0.5,0.2706485905524134,0.32392593820741594,0.29489444818089683,0.21669834115071104,0.2470756346706299,0.2039954031070925,8,rmse_coverage_predictive,0.32392593820741594,0.017693666890853808,0.013001900469042663,0.2470756346706299,30,30,80717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.3666666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.9774590377046375,-0.4295357089086142,32,15.0,0.5,0.1,40.0,0.8318109518110136,0.9661747593377957,0.8618327341229491,0.69668543253198,0.8025508812513293,0.5,0.5,0.24012313847148375,0.27891062869394917,0.24878968052115794,0.20111576100641476,0.2316764836644132,0.18154446408360506,9,rmse_coverage_predictive,0.27891062869394917,0.014927380831269476,0.012066945660384885,0.2316764836644132,30,30,90717,500,medium middle,medium_mid,26.5,13.0,13.5,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
