batch_index,method,pred0,prey0,psi0_unit,psi1_unit,replicate,round,t_end,t_span,t_start
0,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
1,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
2,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
3,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
4,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
5,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
6,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
7,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
8,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
9,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
10,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
11,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
12,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
13,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
14,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
15,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
16,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
17,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
18,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
19,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
20,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
21,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
22,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
23,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
24,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
25,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
26,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
27,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
28,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
29,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
30,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
31,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
32,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
33,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
34,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
35,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
36,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
37,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
38,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
39,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
40,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
41,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
42,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
43,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
44,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
45,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
46,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
47,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
48,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
49,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
50,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
51,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
52,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
53,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
54,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
55,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
56,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
57,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
58,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
59,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
60,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
61,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
62,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
63,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
64,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
65,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
66,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
67,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
68,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
69,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
70,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
71,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
72,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
73,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
74,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
75,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
76,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
77,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
78,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
79,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
80,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
81,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
82,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
83,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
84,structured_medium_mid,15.0,40.0,0.5,0.5,0,30,26.5,13.0,13.5
