method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
random,800,15.0,0.0,40.0,0.0,0,26.214987506336378,8.52822458410518,12.87274337049129,6.178065483371392,13.342244135845085,8.271733177551
fixed_dumb,800,15.0,0.0,40.0,0.0,0,26.214987506336378,8.52822458410518,12.87274337049129,6.178065483371392,13.342244135845085,8.271733177551
bo,800,15.0,0.0,40.0,0.0,0,26.214987506336378,8.52822458410518,12.87274337049129,6.178065483371392,13.342244135845085,8.271733177551
bo_marginal_random,800,15.0,0.0,40.0,0.0,0,26.214987506336378,8.52822458410518,12.87274337049129,6.178065483371392,13.342244135845085,8.271733177551
random,140,15.0,0.0,40.0,0.0,1,27.155665475262303,8.393462100056645,12.763396528763215,6.075233550253132,14.392268946499085,8.7326728178691
fixed_dumb,140,15.0,0.0,40.0,0.0,1,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,1,24.146576585383162,8.344697657093626,13.368145281976831,6.733720468133126,10.778431303406332,4.6389257026871125
bo_marginal_random,140,15.0,0.0,40.0,0.0,1,27.05011455581288,8.786326034524697,15.429829196096707,7.281095118945998,11.620285359716169,9.117592280461084
random,140,15.0,0.0,40.0,0.0,2,27.76977329390944,8.268898345444526,12.818721559688555,6.331340920837257,14.951051734220888,9.386795653348837
fixed_dumb,140,15.0,0.0,40.0,0.0,2,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,2,27.7343499485201,7.730583956886202,13.575479621710747,6.594225947900186,14.158870326809351,10.100605706195706
bo_marginal_random,140,15.0,0.0,40.0,0.0,2,26.708165758729088,8.225822828923675,14.935294600197585,6.763488751901283,11.772871158531506,7.7545470873034805
random,140,15.0,0.0,40.0,0.0,3,26.484227842677587,8.5051677294007,13.242612796722177,6.487153773529867,13.24161504595541,8.864970213034619
