batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,final_score_only,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,predictive_timeout_seconds,predictive_weight,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,target_mode,target_psi_unit,target_seed,target_theta,validation
14,0.2,500,0.29083333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,random,10,0.06,8,0.8840778302176627,-0.38406868406714917,32,0.5,0.1,0.7723303499104204,0.7860231578202936,0.7554569017748917,0.7463710070054186,0.8014703330410781,0.22295256771204958,0.22690534087841313,0.21808162280044718,0.21545875090495523,0.23136455626438274,0.16229134839673742,0,rmse_coverage_predictive,0.22690534087841313,0.013084897368026831,0.012927525054297314,0.23136455626438274,30,30,717,500,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,500,0.4216666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,fixed_dumb,10,0.06,8,1.0232686047753052,-0.5344249272702256,32,0.5,0.1,1.1316575658120378,1.3030229218444083,1.0980429130077523,0.9218367154510141,1.2037277129449768,0.3266814001260284,0.37615031734356097,0.31697768570339335,0.2661113379072617,0.34748625954989754,0.2563456680754857,0,rmse_coverage_predictive,0.37615031734356097,0.0190186611422036,0.015966680274435704,0.34748625954989754,30,30,717,500,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,80,0.24083333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0115213006399784,-0.43209993826002435,32,0.5,0.1,0.937869052153403,0.8712125995263799,0.8354322013008453,0.913496845982798,1.1313345618035886,0.27073947486269323,0.25149741442897455,0.24116850315536234,0.2637038249660213,0.32658815690041465,0.2063798080767875,0,rmse_coverage_predictive,0.25149741442897455,0.01447011018932174,0.015822229497961277,0.32658815690041465,0,30,717,80,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,94,0.355,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9745371394610383,-0.47676097172954335,32,0.5,0.1,1.0065198659776098,0.9030768066169429,0.9841624267330701,0.9759178416020473,1.162922388958379,0.29055725778343955,0.26069581869959985,0.2841032210003267,0.2817232142779503,0.3357067771558815,0.21286007581893351,0,rmse_coverage_predictive,0.26069581869959985,0.0170461932600196,0.016903392856677017,0.3357067771558815,1,30,717,94,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,108,0.37333333333333335,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0041723994262834,-0.487967991888487,32,0.5,0.1,1.0191990350173097,1.06718691571613,1.061063605151042,0.8721676201978383,1.0763779990042281,0.2942174186125253,0.3080703265321771,0.30630267903063446,0.25177310514984863,0.310723563737441,0.21910181357699154,0,rmse_coverage_predictive,0.3080703265321771,0.018378160741838068,0.015106386308990917,0.310723563737441,2,30,717,108,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,122,0.3758333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0222003359647782,-0.48849637884153807,32,0.5,0.1,1.0126192971972703,1.0194541667568902,0.9497843565573767,1.04456050003106,1.0366781654437545,0.2923180119117269,0.2942910688017881,0.2741791269652485,0.3015386429388913,0.2992632089409796,0.21021635312863213,0,rmse_coverage_predictive,0.2942910688017881,0.01645074761791491,0.018092318576333477,0.2992632089409796,3,30,717,122,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,136,0.3833333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9687114149630304,-0.4709863918209647,32,0.5,0.1,0.963996838113291,1.0350987942636496,0.9097621750939124,0.8715345182773496,1.0395918648182523,0.2782819169913283,0.2988072837529876,0.26262571834450493,0.2515903443677393,0.30010432150008154,0.2120286351512437,0,rmse_coverage_predictive,0.2988072837529876,0.015757543100670294,0.015095420662064358,0.30010432150008154,4,30,717,136,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,150,0.36500000000000005,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0616526615912774,-0.4663858945651846,32,0.5,0.1,0.9317415882860383,0.9516203989578493,0.8602922414046421,0.9042802700375427,1.0107734427441186,0.26897062840605684,0.2747091467523267,0.24834497857835833,0.2610432286645214,0.29178515962902085,0.2006682849588748,0,rmse_coverage_predictive,0.2747091467523267,0.0149006987147015,0.015662593719871283,0.29178515962902085,5,30,717,150,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,164,0.37000000000000005,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0241742311608888,-0.4778000308181254,32,0.5,0.1,0.9799340982350043,1.0256594800998031,0.9677223364510539,0.9043546165792545,1.0219999598099057,0.2828826077020365,0.2960823884662565,0.2793573757254148,0.26106469066245674,0.2950259759540179,0.20930325510213782,0,rmse_coverage_predictive,0.2960823884662565,0.016761442543524886,0.015663881439747403,0.2950259759540179,6,30,717,164,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,178,0.32083333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9818003874665565,-0.44218315406609826,32,0.5,0.1,0.913811930342993,0.9783097160020556,0.975722524713234,0.8231185032502436,0.8780969774064388,0.2637947819861093,0.2824136889423066,0.2816668311487835,0.23761384471324498,0.2534847631401021,0.19006635972791405,0,rmse_coverage_predictive,0.2824136889423066,0.016900009868927007,0.014256830682794699,0.2534847631401021,7,30,717,178,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,192,0.2616666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9826404050534627,-0.4161314753902662,32,0.5,0.1,0.874515113927618,0.9069198303131958,0.8859797678776425,0.7977375228596496,0.9074233346599843,0.25245076821825324,0.2618052040823667,0.25576032874035953,0.23028698678284196,0.26195055326744493,0.18546324489846377,0,rmse_coverage_predictive,0.2618052040823667,0.015345619724421573,0.013817219206970517,0.26195055326744493,8,30,717,192,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,206,0.34166666666666673,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0127752551585658,-0.4397982357940359,32,0.5,0.1,0.8767781262725374,0.9517441117049872,0.8659496586904786,0.8109491275652385,0.8784696071294454,0.2531040436115126,0.2747448595462578,0.2499781342748062,0.23410084854944133,0.2535923320755451,0.18722717546090362,0,rmse_coverage_predictive,0.2747448595462578,0.014998688056488371,0.01404605091296648,0.2535923320755451,9,30,717,206,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,220,0.36000000000000004,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9543495446333317,-0.4542238050439287,32,0.5,0.1,0.9311118914272611,0.9930729472780429,1.0381674541899844,0.8077118983522855,0.8854952658887321,0.2687888505805955,0.2866754667179566,0.299693129570248,0.23316634097067784,0.2556204650634994,0.19238223828445133,0,rmse_coverage_predictive,0.2866754667179566,0.01798158777421488,0.01398998045824067,0.2556204650634994,10,30,717,220,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,234,0.3325,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9840286787472926,-0.4345102468361286,32,0.5,0.1,0.8763566675615748,0.9832453276551122,0.9253181352101212,0.7520008688394795,0.8448623385415865,0.25298237896139936,0.28383847730056044,0.267116337224803,0.217083952027653,0.2438907492925809,0.18739896909683262,0,rmse_coverage_predictive,0.28383847730056044,0.01602698023348818,0.013025037121659179,0.2438907492925809,11,30,717,234,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,248,0.35833333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0217911968523172,-0.46101794971398463,32,0.5,0.1,0.9327284009873212,0.9766515939448761,0.9484426161819163,0.8750570994880285,0.9307622943344639,0.26925549669541954,0.2819350303342757,0.27379179988177116,0.2526072259728532,0.26868793059277823,0.1950513687935084,0,rmse_coverage_predictive,0.2819350303342757,0.01642750799290627,0.015156433558371192,0.26868793059277823,12,30,717,248,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,262,0.3325,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9767612521097909,-0.43639578831607495,32,0.5,0.1,0.8854058852829528,0.9800097316294257,0.9148977767657382,0.8106291111449492,0.8360869215916981,0.2555946631050959,0.282904441182351,0.26410823884834456,0.23400846776624173,0.24135750462344624,0.18623682176739723,0,rmse_coverage_predictive,0.282904441182351,0.015846494330900674,0.014040508065974504,0.24135750462344624,13,30,717,262,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,276,0.34333333333333343,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0337723588590442,-0.4409477886083062,32,0.5,0.1,0.872043308275959,0.8853248604786096,0.836639273279411,0.8547745935999842,0.9114345057458314,0.2517372193890684,0.2555712732587966,0.24151695482124041,0.24675217085570192,0.26310847862053466,0.18369262961600558,0,rmse_coverage_predictive,0.2555712732587966,0.014491017289274424,0.014805130251342115,0.26310847862053466,14,30,717,276,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,290,0.28,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.068461938558843,-0.41065033068499707,32,0.5,0.1,0.809921288015618,0.9148291661581482,0.839031522436566,0.7455887528667763,0.7402357106009818,0.23380413682911277,0.2640884326719639,0.24220753766866646,0.21523293358619536,0.2136876433896254,0.17013455862475385,0,rmse_coverage_predictive,0.2640884326719639,0.014532452260119988,0.01291397601517172,0.2136876433896254,15,30,717,290,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,304,0.41333333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0225999518602429,-0.4571786370525667,32,0.5,0.1,0.8715170736348199,0.9549408730507087,0.8549187310654647,0.787960794436218,0.8882478959868879,0.2515853085332091,0.2756676850580015,0.24679377975794967,0.22746468838931092,0.25641508092757426,0.18851186752259158,0,rmse_coverage_predictive,0.2756676850580015,0.01480762678547698,0.013647881303358655,0.25641508092757426,16,30,717,304,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,318,0.3325,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0067049621201614,-0.41706639365770615,32,0.5,0.1,0.8080740926062482,0.8429512538624637,0.8251203112048348,0.7346325696258103,0.8295922357318842,0.23327089744569002,0.24333906666561303,0.2381917168939696,0.21207015591446404,0.23948265030871344,0.17097660200058992,0,rmse_coverage_predictive,0.24333906666561303,0.014291503013638174,0.012724209354867842,0.23948265030871344,17,30,717,318,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,332,0.28583333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9139464639888953,-0.3961737166606603,32,0.5,0.1,0.8082467416389312,0.8233584662341437,0.8360889484803137,0.786392674855392,0.7871468769858754,0.23332073692843744,0.23768311605992015,0.24135808973579012,0.2270120112582552,0.22722973065978422,0.16471327481894313,0,rmse_coverage_predictive,0.23768311605992015,0.014481485384147407,0.013620720675495312,0.22722973065978422,18,30,717,332,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,346,0.3575,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9701947867423603,-0.42472221606983795,32,0.5,0.1,0.8255915000442311,0.8437271688462733,0.8204236501025786,0.7777674047553389,0.8604477764727336,0.23832773739560192,0.24356305402799838,0.23683590761812953,0.22452211025120578,0.2483898776850739,0.17421531057452722,0,rmse_coverage_predictive,0.24356305402799838,0.014210154457087771,0.013471326615072346,0.2483898776850739,19,30,717,346,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,360,0.33416666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9732095158814656,-0.41644447775364857,32,0.5,0.1,0.8160794999870711,0.8932089911569752,0.858673469969983,0.7192200841067485,0.7932154547145774,0.23558185949883534,0.25784722574353686,0.24787767951657985,0.2076209545828083,0.22898157815241638,0.1726949147007762,0,rmse_coverage_predictive,0.25784722574353686,0.01487266077099479,0.012457257274968497,0.22898157815241638,20,30,717,360,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,374,0.28166666666666673,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9199998201752253,-0.3843890501597168,32,0.5,0.1,0.7689349544673811,0.8404844021591878,0.7637933150613446,0.680069654296119,0.7913924463528732,0.2219724014755276,0.24262694791814443,0.220488138027952,0.19631919898778002,0.22845532096823393,0.1668632913672303,0,rmse_coverage_predictive,0.24262694791814443,0.01322928828167712,0.011779151939266801,0.22845532096823393,21,30,717,374,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,388,0.3408333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,1.0016897272251002,-0.4169584249688223,32,0.5,0.1,0.8022205280618588,0.9130199033138766,0.8379612813244758,0.7000864197483951,0.7578145078606877,0.23158111891297894,0.2635661434768764,0.24189858567158493,0.20209754144886863,0.21876220505458593,0.17152383535448698,0,rmse_coverage_predictive,0.2635661434768764,0.014513915140295095,0.012125852486932117,0.21876220505458593,22,30,717,388,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,402,0.305,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9117077491273212,-0.39296927098695617,32,0.5,0.1,0.7813229095426111,0.909376557906802,0.7972415437370926,0.6776224468543319,0.7410510896722177,0.22554849607422406,0.2625144002511138,0.23014380994288158,0.1956127510501407,0.2139230230527602,0.16956215675165853,0,rmse_coverage_predictive,0.2625144002511138,0.013808628596572895,0.011736765063008442,0.2139230230527602,23,30,717,402,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
14,0.2,416,0.3500000000000001,0.25,wide_window,"0.0,0.0",rectified_fmpe,True,3,220,80,0.04,bo,10,0.06,8,0.9417964253501907,-0.4108869309238662,32,0.5,0.1,0.79399733790915,0.8657916308976052,0.77200957206951,0.7434719777662352,0.7947161709032498,0.22920728838884705,0.24993251558042878,0.22285996712564973,0.2146218732491397,0.22941479760016997,0.16988381066968636,0,rmse_coverage_predictive,0.24993251558042878,0.013371598027538983,0.012877312394948381,0.22941479760016997,24,30,717,416,validation_set,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
