replicate,left_method,right_method,metric,delta_left_minus_right,left_value,right_value
0,bo,random,range_normalized_rmse,-0.01192270251468347,0.2110298651973661,0.22295256771204958
1,bo,random,range_normalized_rmse,0.0028562214751541304,0.2210739054556988,0.21821768398054467
2,bo,random,range_normalized_rmse,0.006806183508190261,0.20587578943842305,0.1990696059302328
3,bo,random,range_normalized_rmse,-0.0013969533487788732,0.20086018697848468,0.20225714032726355
4,bo,random,range_normalized_rmse,0.0032776828405775837,0.21216982530823195,0.20889214246765436
5,bo,random,range_normalized_rmse,0.0017138118437615146,0.20693363262922082,0.2052198207854593
6,bo,random,range_normalized_rmse,0.03680024040463381,0.23119388336583097,0.19439364296119716
7,bo,random,range_normalized_rmse,0.03732422991569026,0.23942432698731142,0.20210009707162116
8,bo,random,range_normalized_rmse,0.03709913786025196,0.24429836610738087,0.2071992282471289
9,bo,random,range_normalized_rmse,-0.00015341752871125824,0.2058968182525187,0.20605023578122997
0,bo,random,posterior_quality_objective,0.00457615509350956,-0.3794925289736396,-0.38406868406714917
1,bo,random,posterior_quality_objective,0.017384605695639266,-0.35454929151789105,-0.3719338972135303
2,bo,random,posterior_quality_objective,-0.013955910122113224,-0.36601519206410765,-0.35205928194199443
3,bo,random,posterior_quality_objective,0.008679329655877754,-0.3313421824742061,-0.34002151213008386
4,bo,random,posterior_quality_objective,-0.02469095427341328,-0.3926663679342753,-0.367975413660862
5,bo,random,posterior_quality_objective,-0.0183051955004766,-0.3593977121557036,-0.341092516655227
6,bo,random,posterior_quality_objective,-0.05123795657986435,-0.40051153740806905,-0.3492735808282047
7,bo,random,posterior_quality_objective,-0.05641949224471232,-0.40762394396902035,-0.35120445172430803
8,bo,random,posterior_quality_objective,-0.06828139282312873,-0.41847305137897883,-0.3501916585558501
9,bo,random,posterior_quality_objective,0.0005280165513576462,-0.36285380460744865,-0.3633818211588063
0,bo,random,coverage_error,-0.0008333333333332971,0.29000000000000004,0.29083333333333333
1,bo,random,coverage_error,-0.061666666666666675,0.2066666666666667,0.26833333333333337
2,bo,random,coverage_error,0.010833333333333306,0.2525,0.2416666666666667
3,bo,random,coverage_error,0.003333333333333327,0.205,0.20166666666666666
4,bo,random,coverage_error,0.0641666666666666,0.32249999999999995,0.25833333333333336
5,bo,random,coverage_error,0.07166666666666666,0.2316666666666667,0.16000000000000003
6,bo,random,coverage_error,0.051666666666666666,0.2941666666666667,0.24250000000000002
7,bo,random,coverage_error,0.10250000000000001,0.31083333333333335,0.20833333333333334
8,bo,random,coverage_error,0.08333333333333331,0.29583333333333334,0.21250000000000002
9,bo,random,coverage_error,0.02583333333333332,0.2833333333333333,0.2575
0,bo,random,posterior_mean_predictive_rmse,0.0755488075450721,0.9596266377627348,0.8840778302176627
1,bo,random,posterior_mean_predictive_rmse,-0.04824160504126729,0.8180871939552556,0.8663287989965229
2,bo,random,posterior_mean_predictive_rmse,0.044413932805897005,0.9701440262568461,0.9257300934509491
3,bo,random,posterior_mean_predictive_rmse,-0.08115709640432212,0.7923199549572141,0.8734770513615362
4,bo,random,posterior_mean_predictive_rmse,0.05371604766169069,0.9987154262604336,0.944999378598743
5,bo,random,posterior_mean_predictive_rmse,-0.01325283009951539,0.9454741285981612,0.9587269586976765
6,bo,random,posterior_mean_predictive_rmse,0.01521049508563832,0.957759873755714,0.9425493786700757
7,bo,random,posterior_mean_predictive_rmse,-0.06529737670977953,0.9049128364837559,0.9702102131935354
8,bo,random,posterior_mean_predictive_rmse,0.1034892162954345,1.0021635193826464,0.8986743030872119
9,bo,random,posterior_mean_predictive_rmse,-0.06832932355979726,0.861236530215966,0.9295658537757633
0,bo,bo_marginal_random,range_normalized_rmse,-0.006120674885986832,0.2110298651973661,0.21715054008335294
1,bo,bo_marginal_random,range_normalized_rmse,-0.003083274695573207,0.2210739054556988,0.224157180151272
2,bo,bo_marginal_random,range_normalized_rmse,-0.0047918483701018255,0.20587578943842305,0.21066763780852488
3,bo,bo_marginal_random,range_normalized_rmse,-0.0012858384852507676,0.20086018697848468,0.20214602546373545
4,bo,bo_marginal_random,range_normalized_rmse,0.0033711091775127655,0.21216982530823195,0.20879871613071918
5,bo,bo_marginal_random,range_normalized_rmse,0.0116869502589248,0.20693363262922082,0.19524668237029602
6,bo,bo_marginal_random,range_normalized_rmse,0.008258084490258472,0.23119388336583097,0.2229357988755725
7,bo,bo_marginal_random,range_normalized_rmse,0.00965827956785778,0.23942432698731142,0.22976604741945364
8,bo,bo_marginal_random,range_normalized_rmse,0.013170203693768867,0.24429836610738087,0.231128162413612
9,bo,bo_marginal_random,range_normalized_rmse,-0.020313038276680906,0.2058968182525187,0.22620985652919962
0,bo,bo_marginal_random,posterior_quality_objective,0.014725899246162855,-0.3794925289736396,-0.39421842821980246
1,bo,bo_marginal_random,posterior_quality_objective,0.012512765828204542,-0.35454929151789105,-0.3670620573460956
2,bo,bo_marginal_random,posterior_quality_objective,-0.0025168261788937607,-0.36601519206410765,-0.3634983658852139
3,bo,bo_marginal_random,posterior_quality_objective,0.00526642337191402,-0.3313421824742061,-0.3366086058461201
4,bo,bo_marginal_random,posterior_quality_objective,-0.028902183595090614,-0.3926663679342753,-0.36376418433918467
5,bo,bo_marginal_random,posterior_quality_objective,-0.017595713440211935,-0.3593977121557036,-0.34180199871549166
6,bo,bo_marginal_random,posterior_quality_objective,-0.02062481651286696,-0.40051153740806905,-0.3798867208952021
7,bo,bo_marginal_random,posterior_quality_objective,-0.01721769014909308,-0.40762394396902035,-0.3904062538199273
8,bo,bo_marginal_random,posterior_quality_objective,-0.01996770671107284,-0.41847305137897883,-0.398505344667906
9,bo,bo_marginal_random,posterior_quality_objective,0.021482529092214042,-0.36285380460744865,-0.3843363336996627
0,bo,bo_marginal_random,coverage_error,-0.01916666666666661,0.29000000000000004,0.30916666666666665
1,bo,bo_marginal_random,coverage_error,-0.04083333333333333,0.2066666666666667,0.24750000000000003
2,bo,bo_marginal_random,coverage_error,0.008333333333333276,0.2525,0.24416666666666673
3,bo,bo_marginal_random,coverage_error,-0.019166666666666665,0.205,0.22416666666666665
4,bo,bo_marginal_random,coverage_error,0.07583333333333328,0.32249999999999995,0.24666666666666667
5,bo,bo_marginal_random,coverage_error,-0.004166666666666652,0.2316666666666667,0.23583333333333334
6,bo,bo_marginal_random,coverage_error,0.04833333333333334,0.2941666666666667,0.24583333333333335
7,bo,bo_marginal_random,coverage_error,0.046666666666666634,0.31083333333333335,0.2641666666666667
8,bo,bo_marginal_random,coverage_error,0.02833333333333332,0.29583333333333334,0.2675
9,bo,bo_marginal_random,coverage_error,0.0058333333333333015,0.2833333333333333,0.2775
0,bo,bo_marginal_random,posterior_mean_predictive_rmse,-0.03813557693509395,0.9596266377627348,0.9977622146978288
1,bo,bo_marginal_random,posterior_mean_predictive_rmse,0.007788422007019791,0.8180871939552556,0.8102987719482359
2,bo,bo_marginal_random,posterior_mean_predictive_rmse,0.05225341215662238,0.9701440262568461,0.9178906141002238
3,bo,bo_marginal_random,posterior_mean_predictive_rmse,0.008110817800033865,0.7923199549572141,0.7842091371571802
4,bo,bo_marginal_random,posterior_mean_predictive_rmse,0.06572741084244549,0.9987154262604336,0.9329880154179881
5,bo,bo_marginal_random,posterior_mean_predictive_rmse,0.06950429847953832,0.9454741285981612,0.8759698301186228
6,bo,bo_marginal_random,posterior_mean_predictive_rmse,0.0028339868927517164,0.957759873755714,0.9549258868629623
7,bo,bo_marginal_random,posterior_mean_predictive_rmse,-0.04107256085431332,0.9049128364837559,0.9459853973380692
8,bo,bo_marginal_random,posterior_mean_predictive_rmse,-0.0028583031602933406,1.0021635193826464,1.0050218225429397
9,bo,bo_marginal_random,posterior_mean_predictive_rmse,-0.026278241488664533,0.861236530215966,0.8875147717046306
