batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,pred0,predictive_weight,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,structured_label,structured_policy,t_end,t_span,t_start,target_mode,target_psi_unit,target_seed,target_theta,validation
5,0.2,180,0.18333333333333332,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_early,10,0.06,8,0.45900922749635203,-0.150144257366948,32,15.0,0.1,40.0,0.2023381797880316,0.19264195083338767,0.21207128788399773,0.40453925785024375,0.0001002225844972153,0.0,0.0,0.05841000128397947,0.05561094108543552,0.06121970757360836,0.11678042470880483,2.8931768069173636e-05,0.02808542984423162,0,rmse_coverage_predictive,0.05561094108543552,0.0036731824544165015,0.007006825482528289,2.8931768069173636e-05,20,20,717,180,short early,short_early,2.0,2.0,0.0,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.13333333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_late,10,0.06,8,0.7999454468715715,-0.2136710723463553,32,15.0,0.1,40.0,0.3475990215323097,0.21876896314429575,0.20062511040135433,0.464015395147488,0.5069866174361009,0.0,1.0,0.1003431943258648,0.06315315988084724,0.05791548074821016,0.13394970664826641,0.14635443002613535,0.0798194979434349,0,rmse_coverage_predictive,0.06315315988084724,0.0034749288448926094,0.008036982398895984,0.14635443002613535,20,20,717,180,short late,short_late,40.0,2.0,38.0,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.05000000000000001,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_early,10,0.06,8,0.46559419991025647,-0.11716226955705342,32,15.0,0.1,40.0,0.20127417502578276,0.3689139550231036,0.30606923831237476,0.09457167084423655,0.03554183592341608,1.0,0.0,0.05810284956602777,0.1064962856201992,0.08835457856515665,0.02730048980981633,0.010260044268938895,0.05356658009703869,0,rmse_coverage_predictive,0.1064962856201992,0.0053012747139093985,0.0016380293885889796,0.010260044268938895,20,20,717,180,long early,long_early,24.0,24.0,0.0,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.26666666666666666,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_late,10,0.06,8,0.5028694986993677,-0.1564575104751758,32,15.0,0.1,40.0,0.13684550279683905,0.11851888749444624,0.1874018444130102,0.1363033991768867,0.1051578801030131,1.0,1.0,0.03950389393857236,0.03421345579948676,0.054098252659241904,0.039347402103118274,0.030356465192442506,0.02295748765162675,0,rmse_coverage_predictive,0.03421345579948676,0.003245895159554514,0.0023608441261870963,0.030356465192442506,20,20,717,180,long late,long_late,40.0,24.0,16.0,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.26666666666666666,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.22767249085024133,-0.13327041323957425,32,15.0,0.1,40.0,0.15185408174975915,0.34242623024329877,0.0710033352560216,0.056661774103176174,0.13732498739654,0.5,0.5,0.043836497487883444,0.09884993810427867,0.020496897361712656,0.016356845265615268,0.039642309219927174,0.05325715574593391,0,rmse_coverage_predictive,0.09884993810427867,0.0012298138417027593,0.000981410715936916,0.039642309219927174,20,20,717,180,medium middle,medium_mid,26.5,13.0,13.5,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.23333333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_early,10,0.06,8,1.0135472564656531,-0.3330642171971993,32,15.0,0.1,40.0,0.6005926297069301,0.5326066664371996,0.5213610169513717,0.6686941730903003,0.6797086623488486,0.0,0.0,0.17337615821730065,0.15375030111985322,0.15050396174092578,0.19303538041960955,0.19621498958881411,0.12485508399332446,1,rmse_coverage_predictive,0.15375030111985322,0.009030237704455546,0.011582122825176573,0.19621498958881411,20,20,10717,180,short early,short_early,2.0,2.0,0.0,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.4833333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_short_late,10,0.06,8,0.9303546606015329,-0.40839252413155397,32,15.0,0.1,40.0,0.673849949047751,0.8922582636432723,0.6047984300044201,0.6827214177299831,0.5156216848133288,0.0,1.0,0.19452372473806737,0.2575727743505557,0.1745902681842575,0.19708469715396434,0.1488471592634919,0.14895366545506905,1,rmse_coverage_predictive,0.2575727743505557,0.01047541609105545,0.01182508182923786,0.1488471592634919,20,20,10717,180,short late,short_late,40.0,2.0,38.0,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.05000000000000001,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_early,10,0.06,8,0.9707960310379947,-0.21888463575414804,32,15.0,0.1,40.0,0.3786437401467574,0.8075907909099131,0.21978541936651713,0.299202210587893,0.1879965397227064,1.0,0.0,0.10930503265034856,0.2331313802634506,0.06344658551760674,0.08637223841252556,0.054269926407811364,0.11972553367376036,1,rmse_coverage_predictive,0.2331313802634506,0.0038067951310564035,0.005182334304751533,0.054269926407811364,20,20,10717,180,long early,long_early,24.0,24.0,0.0,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.13333333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_long_late,10,0.06,8,0.8722713019472603,-0.23278958398833377,32,15.0,0.1,40.0,0.38877307745192624,0.45325031229625495,0.07883439537698346,0.5775256310828314,0.445481971051635,1.0,1.0,0.11222912046027442,0.1308420949072624,0.022757529696151396,0.1667172892847906,0.1285995679528933,0.09186869419493168,1,rmse_coverage_predictive,0.1308420949072624,0.0013654517817690837,0.010003037357087435,0.1285995679528933,20,20,10717,180,long late,long_late,40.0,24.0,16.0,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,180,0.13333333333333333,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,structured_medium_mid,10,0.06,8,0.43378752997211134,-0.14764414727443137,32,15.0,0.1,40.0,0.2457158668807682,0.26005698546638584,0.5745577685300095,0.1461490004713026,0.0020997130553749555,0.5,0.5,0.07093206094388689,0.07507198528183023,0.16586054116289584,0.042189582381950655,0.0006061349488708512,0.03788671674098543,1,rmse_coverage_predictive,0.07507198528183023,0.00995163246977375,0.002531374942917039,0.0006061349488708512,20,20,10717,180,medium middle,medium_mid,26.5,13.0,13.5,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
