method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
random,160,15.0,0.0,40.0,0.0,0,24.851999050406352,8.733783198545384,12.792912649206981,6.433861599434323,12.05908640119937,8.207183061489067
fixed_dumb,160,15.0,0.0,40.0,0.0,0,24.851999050406352,8.733783198545384,12.792912649206981,6.433861599434323,12.05908640119937,8.207183061489067
bo,160,15.0,0.0,40.0,0.0,0,24.851999050406352,8.733783198545384,12.792912649206981,6.433861599434323,12.05908640119937,8.207183061489067
bo_marginal_random,160,15.0,0.0,40.0,0.0,0,24.851999050406352,8.733783198545384,12.792912649206981,6.433861599434323,12.05908640119937,8.207183061489067
random,10,15.0,0.0,40.0,0.0,1,27.94672955053985,8.417794192756348,14.623139884217988,6.123289066530064,13.323589666321865,8.859618947111992
fixed_dumb,10,15.0,0.0,40.0,0.0,1,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,1,28.408921005811816,8.117625047973467,15.797544726418778,7.129246955616426,12.611376279393033,0.9883780923570384
bo_marginal_random,10,15.0,0.0,40.0,0.0,1,30.25713798172854,7.656283945087279,15.013256525699145,8.029301940962604,15.243881456029394,8.901533992142834
random,10,15.0,0.0,40.0,0.0,2,25.23822237409529,8.131037559075155,15.199360290154747,5.876415745852671,10.038862083940542,7.247442043749305
fixed_dumb,10,15.0,0.0,40.0,0.0,2,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,2,25.701088237279247,5.409792279440902,15.395601060185834,6.727303289383482,10.305487177093417,1.3175110099425795
bo_marginal_random,10,15.0,0.0,40.0,0.0,2,27.840526781866856,8.287226746765208,12.214734703785718,6.711649655078149,15.625792078081142,8.225176466250192
random,10,15.0,0.0,40.0,0.0,3,26.81309734379547,10.132471726643988,12.645132507184464,6.988515008777166,14.16796483661101,9.414686025207788
