batch,bo_random_fraction,budget,coverage_error,coverage_weight,design_space,dumb_psi_unit,estimator,flow_samples_per_pair,fmpe_max_iter,initial,marginal_jitter_std,method,n_obs,noise_std,ode_steps,posterior_mean_predictive_rmse,posterior_quality_objective,posterior_samples,predictive_weight,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_mode,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,round,rounds,seed,simulations,target_mode,target_psi_unit,target_seed,target_theta,validation
5,0.2,80,0.09999999999999998,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.700346463209693,-0.21188495864297596,32,0.1,0.4047813556440143,0.4757589231440173,0.7804556282021312,0.31290117675417106,0.05000969447573763,0.11685031232200666,0.13733977117328244,0.2252981335165295,0.09032678931438567,0.014436555283829033,0.06943113911386338,0,rmse_coverage_predictive,0.13733977117328244,0.013517888010991769,0.0054196073588631405,0.014436555283829033,0,20,717,80,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,85,0.05000000000000001,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.4183479633911495,-0.13185349550233624,32,0.1,0.26853265097469253,0.11997369061490423,0.15566103918415913,0.3826488936189681,0.4158469804807388,0.0775186991632213,0.034633421286093924,0.04493547143765558,0.11046122086801186,0.12004468306112381,0.06257274758570627,0,rmse_coverage_predictive,0.034633421286093924,0.0026961282862593347,0.006627673252080711,0.12004468306112381,1,20,717,85,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,90,0.4833333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.9939554000295413,-0.38152142267925304,32,0.1,0.558733780688653,0.4578381604199039,0.2414964567827192,0.7072574966460516,0.8283430089059369,0.16129254934296555,0.1321664925818573,0.06971402216592189,0.20416765303748938,0.23912202958659368,0.13676155061507794,0,rmse_coverage_predictive,0.1321664925818573,0.004182841329955313,0.012250059182249362,0.23912202958659368,2,20,717,90,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,95,0.15000000000000002,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.6441461169678961,-0.19192829781815107,32,0.1,0.311816555477511,0.15553995498716053,0.3535544089251744,0.20938723203629353,0.5287846259614155,0.09001368612136143,0.04490051744078971,0.10206236658306424,0.060444887390512354,0.15264697307107944,0.07963637355837562,0,rmse_coverage_predictive,0.04490051744078971,0.006123741994983854,0.003626693243430741,0.15264697307107944,3,20,717,95,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,100,0.3166666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.8588544388836221,-0.30485269429915823,32,0.1,0.48428342794523926,0.18512461603796634,0.3225667460862969,0.6127736989658356,0.8166686506908584,0.13980058374412932,0.053440873451573,0.09311699884227259,0.17689253002512392,0.2357519326575478,0.12101525005199085,0,rmse_coverage_predictive,0.053440873451573,0.005587019930536355,0.010613551801507436,0.2357519326575478,4,20,717,100,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,105,0.05000000000000001,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.42609890783763094,-0.17033947285206727,32,0.1,0.3991669813544608,0.3084332142171139,0.4635720821138509,0.2901518052048125,0.534510823882066,0.11522958206830416,0.08903699962763612,0.13382173319861357,0.08375961142042718,0.15429998402653977,0.08919893289285444,0,rmse_coverage_predictive,0.08903699962763612,0.008029303991916814,0.00502557668522563,0.15429998402653977,5,20,717,105,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,110,0.23333333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.6550244860844955,-0.2098150996432835,32,0.1,0.2978410933182103,0.11679339513583926,0.004874380373379155,0.6046046338007071,0.4650919639629157,0.0859793177015006,0.03371534906062357,0.0014071124103515419,0.17453432403906669,0.13426048529596057,0.06941230768211377,0,rmse_coverage_predictive,0.03371534906062357,8.442674462109251e-05,0.010472059442344,0.13426048529596057,6,20,717,110,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,115,0.23333333333333336,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,1.0930095457196456,-0.3053604290567299,32,0.1,0.47709734800936576,0.1481448447468459,0.11148634842377335,0.6221695575241886,1.0265886413426553,0.13772614115143195,0.0427657329968234,0.03218333663671698,0.1796048807590903,0.29635061421309716,0.14981025641832232,0,rmse_coverage_predictive,0.0427657329968234,0.0019310001982030187,0.010776292845545418,0.29635061421309716,7,20,717,115,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,120,0.7333333333333334,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.12719279109356013,-0.4211250326246184,32,0.1,0.7796737342751838,0.977308672111172,0.9347940526205972,0.4468647304906306,0.7597274818783355,0.22507242018192908,0.2821247124623705,0.2698517989586815,0.12899873622005756,0.2193144330866068,0.1788960818076561,0,rmse_coverage_predictive,0.2821247124623705,0.01619110793752089,0.007739924173203454,0.2193144330866068,8,20,717,120,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
5,0.2,125,0.3166666666666667,0.25,wide_window,"0.0,0.0",rectified_fmpe,3,220,80,0.04,random,10,0.06,8,0.8910002402338077,-0.37247951445285843,32,0.1,0.7074139726285951,0.05650716130178558,0.23054721129350367,1.3349840267795434,1.2076174911395474,0.20421282376281097,0.016312212394363756,0.06655324725061094,0.38537669361251,0.3486091417937591,0.17488926662741314,0,rmse_coverage_predictive,0.016312212394363756,0.003993194835036656,0.023122601616750598,0.3486091417937591,9,20,717,125,fixed_x0,"0.5,0.5",919,"1.0,0.05,1.0,0.05",100
