batch,batch_size,batch_sizes,batch_theta_mode,budget,coverage_error,design_space,estimator,final_simulations,initial,initial_design_mode,method,policy,policy_label,posterior_mean_predictive_rmse,pred0,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_abs_neg_coverage_error,reward_abs_neg_predictive_rmse,reward_abs_neg_prior_std_rmse,reward_abs_neg_range_rmse,reward_abs_neg_range_rmse_alpha,reward_abs_neg_range_rmse_beta,reward_abs_neg_range_rmse_delta,reward_abs_neg_range_rmse_gamma,reward_abs_neg_raw_rmse,reward_abs_rmse_coverage,reward_abs_rmse_coverage_predictive,reward_abs_rmse_predictive,reward_delta_neg_coverage_error,reward_delta_neg_predictive_rmse,reward_delta_neg_prior_std_rmse,reward_delta_neg_range_rmse,reward_delta_neg_range_rmse_alpha,reward_delta_neg_range_rmse_beta,reward_delta_neg_range_rmse_delta,reward_delta_neg_range_rmse_gamma,reward_delta_neg_raw_rmse,reward_delta_rmse_coverage,reward_delta_rmse_coverage_predictive,reward_delta_rmse_predictive,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,role,seed,simulations,t_end,t_span,t_start,target_mode,validation
14,14,"14,56,112,224",paired,514,0.30833333333333335,wide_window,rectified_fmpe,514,500,categorical,rectified_fmpe,short_early,short early,1.0514366088349172,15.0,40.0,0.8984534440997172,1.019651066746656,0.8566439138042969,0.7866356413172471,0.9308831545306684,0.0,0.0,0.25936116890265903,0.2943479089328355,0.24729179711728272,0.22708214963433324,0.26872281992618474,0.1995359840795565,0,-0.30833333333333335,-1.0514366088349172,-0.8984534440997172,-0.25936116890265903,-0.2943479089328355,-0.24729179711728272,-0.22708214963433324,-0.26872281992618474,-0.1995359840795565,-0.33644450223599237,-0.4415881631194841,-0.36450482978615073,-0.053333333333333344,0.057029427850040504,-0.000160242664705601,-4.625807280167482e-05,0.009515510673237249,0.005766209803781119,-0.013452558134373765,-0.002014194633851496,0.0028629425641235606,-0.013379591406135039,-0.007676648621130988,0.0056566847122023756,0.2943479089328355,0.014837507827036963,0.013624928978059994,0.26872281992618474,one_batch_probe,717,514,2.0,2.0,0.0,validation_set,100
56,56,"14,56,112,224",paired,556,0.35000000000000003,wide_window,rectified_fmpe,556,500,categorical,rectified_fmpe,short_early,short early,1.0032813151593363,15.0,40.0,0.9596216011532216,1.0933215222014607,0.9556620276715821,0.8211768793595088,0.9683259753803346,0.0,0.0,0.2770188948729961,0.31561473757691244,0.27587586446524576,0.23705334617525461,0.2795316312745716,0.21108462868732572,0,-0.35000000000000003,-1.0032813151593363,-0.9596216011532216,-0.2770188948729961,-0.31561473757691244,-0.27587586446524576,-0.23705334617525461,-0.2795316312745716,-0.21108462868732572,-0.3645188948729961,-0.4648470263889297,-0.3773470263889297,-0.09500000000000003,0.10518472152562142,-0.061328399718210025,-0.01770398404313872,-0.01175131797083967,-0.02281785754418192,-0.023423754675295144,-0.012823005982238345,-0.00868570204364566,-0.04145398404313877,-0.030935511890576584,-0.00718551189057659,0.31561473757691244,0.016552551867914746,0.014223200770515277,0.2795316312745716,one_batch_probe,717,556,2.0,2.0,0.0,validation_set,100
112,112,"14,56,112,224",paired,612,0.38083333333333336,wide_window,rectified_fmpe,612,500,categorical,rectified_fmpe,short_early,short early,1.0617687637762843,15.0,40.0,0.9481221910946358,1.06990795902212,0.9162191579589648,0.8099151713963864,0.9964464760010721,0.0,0.0,0.2736993011265729,0.3088558240747721,0.2644896887421503,0.2338023711132328,0.2876493205761365,0.21129521867040685,0,-0.38083333333333336,-1.0617687637762843,-0.9481221910946358,-0.2736993011265729,-0.3088558240747721,-0.2644896887421503,-0.2338023711132328,-0.2876493205761365,-0.21129521867040685,-0.36890763445990626,-0.47508451083753467,-0.37987617750420133,-0.12583333333333335,0.046697272908673426,-0.049828989659624234,-0.014384390296715566,-0.004992404468699307,-0.011431681821086448,-0.020172779613273323,-0.020940695283803268,-0.008896292026726788,-0.04584272363004893,-0.04117299633918153,-0.009714663005848223,0.3088558240747721,0.015869381324529017,0.014028142266793968,0.2876493205761365,one_batch_probe,717,612,2.0,2.0,0.0,validation_set,100
224,224,"14,56,112,224",paired,724,0.3941666666666667,wide_window,rectified_fmpe,724,500,categorical,rectified_fmpe,short_early,short early,1.0488838335434676,15.0,40.0,0.9264828122980199,1.084602927721845,0.807180034016151,0.8331513984972259,0.9809968889568579,0.0,0.0,0.2674525505399117,0.31309789614203176,0.23301280496185803,0.24051009209904328,0.2831894089567137,0.21132335304685268,0,-0.3941666666666667,-1.0488838335434676,-0.9264828122980199,-0.2674525505399117,-0.31309789614203176,-0.23301280496185803,-0.24051009209904328,-0.2831894089567137,-0.21132335304685268,-0.3659942172065784,-0.4708826005609251,-0.37234093389425843,-0.13916666666666672,0.0595822031414901,-0.028189610863008308,-0.008137639710054323,-0.009234476535958991,0.02004520195920581,-0.026880500599083812,-0.01648078366438044,-0.00892442640317262,-0.042929306376721044,-0.03697108606257199,-0.0021794193959053243,0.31309789614203176,0.013980768297711482,0.014430605525942596,0.2831894089567137,one_batch_probe,717,724,2.0,2.0,0.0,validation_set,100
14,14,"14,56,112,224",paired,514,0.34500000000000003,wide_window,rectified_fmpe,514,500,categorical,rectified_fmpe,short_middle,short middle,1.0742010376603375,15.0,40.0,0.8685592316074684,0.9845783178081539,0.8293463161772588,0.7290715738328954,0.9312407186115654,0.0,0.5,0.2507314530878532,0.2842232784124033,0.23941165944818243,0.21046483470546318,0.26882603978536396,0.19584184937070717,0,-0.34500000000000003,-1.0742010376603375,-0.8685592316074684,-0.2507314530878532,-0.2842232784124033,-0.23941165944818243,-0.21046483470546318,-0.26882603978536396,-0.19584184937070717,-0.3369814530878532,-0.444401556853887,-0.358151556853887,-0.09000000000000002,0.03426499902462021,0.029733969827543172,0.008583457742004141,0.01964014119366947,0.013646347472881404,0.003164756794496293,-0.0021174144930307115,0.006557077272972889,-0.013916542257995879,-0.010490042355533857,0.012009957644466107,0.2842232784124033,0.014364699566890946,0.01262789008232779,0.26882603978536396,one_batch_probe,717,514,21.0,2.0,19.0,validation_set,100
56,56,"14,56,112,224",paired,556,0.32333333333333336,wide_window,rectified_fmpe,556,500,categorical,rectified_fmpe,short_middle,short middle,0.9788565197334889,15.0,40.0,0.9536069086912281,0.9975821168219465,0.8670578527256604,0.9294532652774777,1.0203343999398276,0.0,0.5,0.2752826027169837,0.2879771518429538,0.2502980423370695,0.2683100464535642,0.2945451702343474,0.2062597871009112,0,-0.32333333333333336,-0.9788565197334889,-0.9536069086912281,-0.2752826027169837,-0.2879771518429538,-0.2502980423370695,-0.2683100464535642,-0.2945451702343474,-0.2062597871009112,-0.356115936050317,-0.4540015880236659,-0.37316825469033255,-0.06833333333333336,0.12960951695146883,-0.05531370725621654,-0.015967691887126323,0.015886267763118966,0.0027599645839943565,-0.05468045495360474,-0.027836544942014152,-0.0038608604572311356,-0.03305102522045966,-0.02009007352531278,-0.00300674019197944,0.2879771518429538,0.015017882540224167,0.016098602787213853,0.2945451702343474,one_batch_probe,717,556,21.0,2.0,19.0,validation_set,100
112,112,"14,56,112,224",paired,612,0.32,wide_window,rectified_fmpe,612,500,categorical,rectified_fmpe,short_middle,short middle,1.1147815362559117,15.0,40.0,0.9125149985249135,1.0624795536391891,0.8406710795639913,0.8128902135674465,0.9340191473290266,0.0,0.5,0.2634203900189649,0.3067114281510297,0.24268083704310187,0.23466119181238881,0.26962810306933915,0.20443915331475346,0,-0.32,-1.1147815362559117,-0.9125149985249135,-0.2634203900189649,-0.3067114281510297,-0.24268083704310187,-0.23466119181238881,-0.26962810306933915,-0.20443915331475346,-0.3434203900189649,-0.45489854364455606,-0.37489854364455605,-0.065,-0.0063154995709540085,-0.0142217970899019,-0.00410547918910753,-0.002848008544956926,0.010377169877961973,-0.021031600312429344,-0.0029194777770059077,-0.0020402266710733974,-0.020355479189107573,-0.02098702914620293,-0.004737029146202942,0.3067114281510297,0.014560850222586111,0.014079671508743329,0.26962810306933915,one_batch_probe,717,612,21.0,2.0,19.0,validation_set,100
224,224,"14,56,112,224",paired,724,0.37250000000000005,wide_window,rectified_fmpe,724,500,categorical,rectified_fmpe,short_middle,short middle,1.085531025817861,15.0,40.0,0.9392469098598326,0.9745070633939803,0.8409356112395882,0.8701544469363939,1.071390517869368,0.0,0.5,0.2711372281215493,0.28131595768885315,0.24275720076015936,0.2511919520876385,0.3092838019495461,0.20930506482040448,0,-0.37250000000000005,-1.085531025817861,-0.9392469098598326,-0.2711372281215493,-0.28131595768885315,-0.24275720076015936,-0.2511919520876385,-0.3092838019495461,-0.20930506482040448,-0.3642622281215493,-0.47281533070333537,-0.37969033070333535,-0.11750000000000005,0.022935010867096706,-0.040953708424821045,-0.01182231729169192,0.022547461917219624,0.01030080616090448,-0.03756236058767903,-0.04257517665721283,-0.006906138176724419,-0.04119731729169196,-0.03890381620498223,-0.009528816204982249,0.28131595768885315,0.014565432045609561,0.015071517125258308,0.3092838019495461,one_batch_probe,717,724,21.0,2.0,19.0,validation_set,100
14,14,"14,56,112,224",paired,514,0.3066666666666667,wide_window,rectified_fmpe,514,500,categorical,rectified_fmpe,short_late,short late,1.011559700017839,15.0,40.0,0.8704732785421919,0.9793841355987035,0.9308706049569683,0.7337237331169576,0.8379146404961382,0.0,1.0,0.2512839908443553,0.28272384716398025,0.2687191971763077,0.2118077974129463,0.24188512162418696,0.18632139369800169,0,-0.3066666666666667,-1.011559700017839,-0.8704732785421919,-0.2512839908443553,-0.28272384716398025,-0.2687191971763077,-0.2118077974129463,-0.24188512162418696,-0.18632139369800169,-0.327950657511022,-0.42910662751280587,-0.3524399608461392,-0.051666666666666694,0.09690633666711879,0.02781992289281965,0.008030919985502039,0.021139572442092525,-0.015661190255243873,0.0018217940870131621,0.024823503668146285,0.016077532945678374,-0.004885746681164649,0.004804886985547263,0.017721553652213895,0.28272384716398025,0.016123151830578462,0.012708467844776777,0.24188512162418696,one_batch_probe,717,514,40.0,2.0,38.0,validation_set,100
56,56,"14,56,112,224",paired,556,0.335,wide_window,rectified_fmpe,556,500,categorical,rectified_fmpe,short_late,short late,1.3764300252356838,15.0,40.0,0.8610125261822688,0.9711737398017107,0.8298455962098267,0.746158329448063,0.8968724392694749,0.0,1.0,0.24855290688348633,0.28035371005220666,0.23955578917878445,0.21539735618246034,0.25890477212049384,0.19105202338410843,0,-0.335,-1.3764300252356838,-0.8610125261822688,-0.24855290688348633,-0.28035371005220666,-0.23955578917878445,-0.21539735618246034,-0.25890477212049384,-0.19105202338410843,-0.33230290688348635,-0.4699459094070547,-0.3861959094070547,-0.08000000000000002,-0.2679639885507261,0.03728067525274281,0.01076200394637103,0.02350970955386611,0.013502217742279388,-0.0017677646825008664,0.007803853171839403,0.011346903259571633,-0.009237996053629016,-0.036034394908701584,-0.01603439490870162,0.28035371005220666,0.014373347350727067,0.01292384137094762,0.25890477212049384,one_batch_probe,717,556,40.0,2.0,38.0,validation_set,100
