batch,batch_size,best_label,best_mean_delta,best_policy,between_policy_std,final_simulations,mean_policy_delta,mean_within_policy_std,n,paired_eta_squared,policies,positive_observation_fraction,positive_policy_fraction,range_of_policy_means,rank_stability_spearman,raw_eta_squared,replicates,reward,reward_label,winner_stability,worst_label,worst_mean_delta,worst_policy
14,14,medium late,1.850371707708594e-17,medium_late,0.02227424466303273,514,-0.02925925925925925,0.04649900225829687,27,0.38292233862523134,9,0.2962962962962963,0.1111111111111111,0.07444444444444445,0.07777777777777777,0.19666615690472533,3,neg_coverage_error,-coverage error,0.6666666666666666,medium middle,-0.07444444444444444,medium_middle
14,14,medium early,0.05667539204677082,medium_early,0.017550081723473658,514,0.030055904961239204,0.065485069739692,27,0.33586286502799484,9,0.6666666666666666,0.8888888888888888,0.056696028708565015,-0.09444444444444446,0.08370367562213714,3,neg_predictive_rmse,-posterior-mean predictive RMSE,0.6666666666666666,medium middle,-2.0636661794193323e-05,medium_middle
14,14,medium early,0.042173721578716274,medium_early,0.021026305608697015,514,0.02188200155770852,0.038693339539535035,27,0.31707677056850625,9,0.7407407407407407,0.8888888888888888,0.06738541817901056,-0.05000000000000001,0.2545282401089857,3,neg_prior_std_rmse,-prior-std-normalized RMSE,0.0,medium middle,-0.025211696600294282,medium_middle
14,14,medium early,0.01217450475310014,medium_early,0.006069771601622293,514,0.006316789744875438,0.011169804999498068,27,0.31707677056850747,9,0.7407407407407407,0.8888888888888888,0.019452494662553683,-0.05000000000000001,0.2545282401089864,3,neg_range_rmse,-range-normalized RMSE,0.0,medium middle,-0.007277989909453543,medium_middle
14,14,medium late,0.028596774673276166,medium_late,0.006209115583132331,514,0.01565218707115283,0.020644894888509527,27,0.207328433424318,9,0.7407407407407407,1.0,0.021529327042201524,-0.2555555555555556,0.09783496937261767,3,neg_range_rmse_alpha,-range-normalized RMSE alpha,0.3333333333333333,short late,0.0070674476310746415,short_late
14,14,long late,0.02748393839889197,long_late,0.01064597583771465,514,0.007960398278881337,0.012561776047738211,27,0.4632689670506354,9,0.6296296296296297,0.7777777777777778,0.035674621481640016,0.18888888888888888,0.4365285528460376,3,neg_range_rmse_beta,-range-normalized RMSE beta,0.6666666666666666,medium middle,-0.008190683082748043,medium_middle
14,14,long middle,0.012376824926493482,long_middle,0.010663239028129889,514,-0.001704797898678387,0.016409143632434436,27,0.39420907952961826,9,0.48148148148148145,0.5555555555555556,0.033567847366464156,0.1166666666666667,0.33433684459586305,3,neg_range_rmse_delta,-range-normalized RMSE delta,0.3333333333333333,medium middle,-0.021191022439970675,medium_middle
14,14,medium early,0.019923898824822834,medium_early,0.009117447769527805,514,0.0033593715281458646,0.01846584271153463,27,0.19551080049551742,9,0.5555555555555556,0.7777777777777778,0.031957396960406406,-0.1277777777777778,0.1904883814820021,3,neg_range_rmse_gamma,-range-normalized RMSE gamma,0.3333333333333333,medium middle,-0.012033498135583576,medium_middle
14,14,medium late,0.0134479560205067,medium_late,0.004044737681655582,514,0.0067038058204553,0.010407222153366391,27,0.22652853202998213,9,0.7407407407407407,1.0,0.013262674318188977,-0.21666666666666667,0.1449611035314265,3,neg_raw_rmse,-raw RMSE,0.3333333333333333,medium middle,0.0001852817023177226,medium_middle
14,14,medium late,0.010814593058072253,medium_late,0.01114446295429036,514,-0.0009980250699393742,0.01891731078657431,27,0.3597723737073625,9,0.4444444444444444,0.5555555555555556,0.0367036940786369,0.016666666666666663,0.26514615663570895,3,rmse_coverage,-RMSE - coverage penalty,0.6666666666666666,medium middle,-0.02588910102056465,medium_middle
