batch,batch_theta_mode,budget,coverage_error,design_space,estimator,initial,initial_design_mode,method,policy,policy_label,posterior_mean_predictive_rmse,pred0,prey0,prior_std_normalized_rmse,prior_std_normalized_rmse_alpha,prior_std_normalized_rmse_beta,prior_std_normalized_rmse_delta,prior_std_normalized_rmse_gamma,psi0_unit,psi1_unit,range_normalized_rmse,range_normalized_rmse_alpha,range_normalized_rmse_beta,range_normalized_rmse_delta,range_normalized_rmse_gamma,raw_rmse,replicate,reward_abs_neg_coverage_error,reward_abs_neg_predictive_rmse,reward_abs_neg_prior_std_rmse,reward_abs_neg_range_rmse,reward_abs_neg_range_rmse_alpha,reward_abs_neg_range_rmse_beta,reward_abs_neg_range_rmse_delta,reward_abs_neg_range_rmse_gamma,reward_abs_neg_raw_rmse,reward_abs_rmse_coverage,reward_abs_rmse_coverage_predictive,reward_abs_rmse_predictive,reward_delta_neg_coverage_error,reward_delta_neg_predictive_rmse,reward_delta_neg_prior_std_rmse,reward_delta_neg_range_rmse,reward_delta_neg_range_rmse_alpha,reward_delta_neg_range_rmse_beta,reward_delta_neg_range_rmse_delta,reward_delta_neg_range_rmse_gamma,reward_delta_neg_raw_rmse,reward_delta_rmse_coverage,reward_delta_rmse_coverage_predictive,reward_delta_rmse_predictive,rmse_alpha,rmse_beta,rmse_delta,rmse_gamma,role,seed,simulations,t_end,t_span,t_start,target_mode,validation
14,paired,94,0.39916666666666667,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,short_early,short early,1.0027922283296096,15.0,40.0,1.0220365040804513,1.0456838795444068,1.125810777551032,0.8962402244713685,1.020411134754998,0.0,0.0,0.29503652537623637,0.30186293467110775,0.3249935777378351,0.25872226742855764,0.2945673216674448,0.21125360781335106,0,-0.39916666666666667,-1.0027922283296096,-1.0220365040804513,-0.29503652537623637,-0.30186293467110775,-0.3249935777378351,-0.25872226742855764,-0.2945673216674448,-0.21125360781335106,-0.39482819204290304,-0.495107414875864,-0.39531574820919735,-0.18583333333333332,-0.031054557136778516,-0.12229852420712861,-0.03530454293623986,-0.05736875919863374,-0.04790715578950455,-0.018764976958914964,-0.01717727979790601,-0.02604675038113488,-0.08176287626957318,-0.08486833198325106,-0.03840999864991773,0.30186293467110775,0.019499614664270106,0.015523336045713458,0.2945673216674448,one_batch_probe,717,94,2.0,2.0,0.0,validation_set,100
14,paired,94,0.34,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,short_middle,short middle,1.0896495725296182,15.0,40.0,1.057914966312395,1.0167315266456425,1.1056505840693196,1.0395247933285614,1.0697529612060568,0.0,0.5,0.30539374529009755,0.29350511030122045,0.3191738311710443,0.30008495962876747,0.30881108005935815,0.21342472645136398,0,-0.34,-1.0896495725296182,-1.057914966312395,-0.30539374529009755,-0.29350511030122045,-0.3191738311710443,-0.30008495962876747,-0.30881108005935815,-0.21342472645136398,-0.39039374529009757,-0.49935870254305936,-0.4143587025430594,-0.12666666666666668,-0.1179119013367872,-0.1581769864390723,-0.04566176285010104,-0.04901093482874644,-0.042087409222713756,-0.06012766915912479,-0.03142103818981934,-0.0282178690191478,-0.07732842951676772,-0.0891196196504464,-0.05745295298377978,0.29350511030122045,0.019150429870262657,0.01800509757772605,0.30881108005935815,one_batch_probe,717,94,21.0,2.0,19.0,validation_set,100
14,paired,94,0.20250000000000004,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,short_late,short late,1.0851797807626526,15.0,40.0,0.906895267586147,0.8752393494723137,0.9196089093893449,0.9182722194207652,0.9144605920621641,0.0,1.0,0.26179811343382986,0.25265983701159667,0.26546822569255824,0.26508235653596696,0.2639820344951975,0.18305066177120663,0,-0.20250000000000004,-1.0851797807626526,-0.906895267586147,-0.26179811343382986,-0.25265983701159667,-0.26546822569255824,-0.26508235653596696,-0.2639820344951975,-0.18305066177120663,-0.3124231134338299,-0.4209410915100951,-0.37031609151009515,0.010833333333333306,-0.11344210956982159,-0.007157287712824312,-0.0020661309938333483,-0.008165661539122654,0.011618196255772317,-0.02512506606632428,0.01340800737434128,0.0021561956610095523,0.0006422023394999643,-0.010702008617482162,-0.01341034195081553,0.25265983701159667,0.015928093541553494,0.015904941392158017,0.2639820344951975,one_batch_probe,717,94,40.0,2.0,38.0,validation_set,100
14,paired,94,0.34416666666666673,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,medium_early,medium early,1.0971329284794495,15.0,40.0,1.0417487932605276,1.0348397165914953,1.2184217847834462,0.8696762234586276,1.0440574482085407,0.5,0.0,0.3007269731084667,0.29873249447110795,0.3517280727156135,0.2510539008608279,0.3013934243863174,0.21257431996247014,0,-0.34416666666666673,-1.0971329284794495,-1.0417487932605276,-0.3007269731084667,-0.29873249447110795,-0.3517280727156135,-0.2510539008608279,-0.3013934243863174,-0.21257431996247014,-0.38676863977513337,-0.4964819326230783,-0.41044026595641164,-0.13083333333333338,-0.1253952572866185,-0.1420108133872049,-0.04099499066847018,-0.05423831899863393,-0.07464165076728296,-0.01109661039118523,-0.024003382516778582,-0.02736746253025396,-0.07370332400180352,-0.08624284973046537,-0.053534516397132026,0.29873249447110795,0.02110368436293681,0.015063234051649674,0.3013934243863174,one_batch_probe,717,94,13.0,13.0,0.0,validation_set,100
14,paired,94,0.3508333333333334,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,medium_middle,medium middle,1.0662317012159348,15.0,40.0,1.0274258147408657,0.9744113277591397,1.1389950532530397,0.9684045465001161,1.0278923314511674,0.5,0.5,0.2965922853565047,0.28128832119158004,0.32879955030064734,0.27955431280314974,0.29672695713064184,0.20484173272058867,0,-0.3508333333333334,-1.0662317012159348,-1.0274258147408657,-0.2965922853565047,-0.28128832119158004,-0.32879955030064734,-0.27955431280314974,-0.29672695713064184,-0.20484173272058867,-0.38430061868983806,-0.49092378881143156,-0.40321545547809823,-0.13750000000000004,-0.09449403002310375,-0.12768783486754298,-0.036860302916508214,-0.036794145719106025,-0.051713128352316784,-0.039597022333507065,-0.019336915261103038,-0.01963487528837249,-0.0712353029165082,-0.0806847059188186,-0.04630970591881861,0.28128832119158004,0.01972797301803884,0.016773258768188984,0.29672695713064184,one_batch_probe,717,94,26.5,13.0,13.5,validation_set,100
14,paired,94,0.38000000000000006,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,medium_late,medium late,1.0998207468556795,15.0,40.0,1.0191504388755461,0.9585541473703805,1.0283493390596132,0.9987865055755502,1.090911763496641,0.5,1.0,0.29420339011476093,0.27671074750856073,0.2968588838635207,0.28832482892850475,0.31491910015845753,0.20997583223160365,0,-0.38000000000000006,-1.0998207468556795,-1.0191504388755461,-0.29420339011476093,-0.27671074750856073,-0.2968588838635207,-0.28832482892850475,-0.31491910015845753,-0.20997583223160365,-0.38920339011476096,-0.4991854648003289,-0.4041854648003289,-0.1666666666666667,-0.1280830756628485,-0.11941245900222341,-0.03447140767476442,-0.032216572036086716,-0.019772461915190165,-0.048367538458862075,-0.037529058288918726,-0.024768974799387472,-0.0761380743414311,-0.08894638190771592,-0.04727971524104929,0.27671074750856073,0.017811533031811242,0.017299489735710286,0.31491910015845753,one_batch_probe,717,94,40.0,13.0,27.0,validation_set,100
14,paired,94,0.2866666666666667,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,long_early,long early,1.0313536479586054,15.0,40.0,0.9659094180130452,0.9599263716960058,1.1081262062022834,0.8382659413080215,0.9573191528458702,1.0,0.0,0.27883403125131323,0.2771068745504549,0.31988848172348355,0.24198653343334062,0.27635423529797387,0.19604787255503328,0,-0.2866666666666667,-1.0313536479586054,-0.9659094180130452,-0.27883403125131323,-0.2771068745504549,-0.31988848172348355,-0.24198653343334062,-0.27635423529797387,-0.19604787255503328,-0.3505006979179799,-0.45363606271384044,-0.3819693960471738,-0.07333333333333333,-0.05961597676577435,-0.06617143813972248,-0.01910204881131672,-0.032612699077980895,-0.042802059775153,-0.0020292429636979414,0.0010358065715649345,-0.0108410151228171,-0.03743538214465003,-0.04339697982122748,-0.025063646487894164,0.2771068745504549,0.019193308903409013,0.014519192006000436,0.27635423529797387,one_batch_probe,717,94,24.0,24.0,0.0,validation_set,100
14,paired,94,0.33166666666666667,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,long_middle,long middle,1.041831307111412,15.0,40.0,1.0395822825717878,1.1791669396949207,1.122755319324326,0.9148083997002397,0.9415984715676643,1.0,0.5,0.3001015553437937,0.3403961750261849,0.32411154292299194,0.2640824379119321,0.2718160655140656,0.2181643678620399,0,-0.33166666666666667,-1.041831307111412,-1.0395822825717878,-0.3001015553437937,-0.3403961750261849,-0.32411154292299194,-0.2640824379119321,-0.2718160655140656,-0.2181643678620399,-0.3830182220104603,-0.4872013527216016,-0.4042846860549349,-0.11833333333333332,-0.07009363591858098,-0.13984430269846504,-0.04036957290379717,-0.0959019995537109,-0.04702512097466138,-0.024125147442289413,0.005573976355473187,-0.03295751042982373,-0.06995290623713046,-0.07696226982898863,-0.04737893649565528,0.3403961750261849,0.019446692575379516,0.015844946274715926,0.2718160655140656,one_batch_probe,717,94,32.0,24.0,8.0,validation_set,100
14,paired,94,0.375,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,long_late,long late,1.0398532459295233,15.0,40.0,1.001109241926337,0.9860807786630997,1.1529188613335497,0.9472269353340353,0.9182103923746628,1.0,1.0,0.2889953451571964,0.28465700150192824,0.3328190074723609,0.27344086304938475,0.26506450860511177,0.19490814532523418,0,-0.375,-1.0398532459295233,-1.001109241926337,-0.2889953451571964,-0.28465700150192824,-0.3328190074723609,-0.27344086304938475,-0.26506450860511177,-0.19490814532523418,-0.3827453451571964,-0.4867306697501487,-0.3929806697501487,-0.16166666666666665,-0.06811557473669227,-0.10137126205301428,-0.02926336271719987,-0.04016282602945423,-0.05573258552403032,-0.03348357257974208,0.012325533264427035,-0.009701287893017996,-0.06968002938386653,-0.07649158685753576,-0.03607492019086911,0.28465700150192824,0.019969140448341652,0.016406451782963086,0.26506450860511177,one_batch_probe,717,94,40.0,24.0,16.0,validation_set,100
14,paired,94,0.30416666666666664,wide_window,rectified_fmpe,80,categorical,rectified_fmpe,short_early,short early,0.9801296415715348,15.0,40.0,0.9122514347430262,0.9830151492423125,0.9310172050628108,0.7553036169350078,0.9796697677319735,0.0,0.0,0.2633443057087542,0.28377203051626465,0.26876151698159345,0.21803737327866235,0.28280630205849655,0.20058486530910608,1,-0.30416666666666664,-0.9801296415715348,-0.9122514347430262,-0.2633443057087542,-0.28377203051626465,-0.26876151698159345,-0.21803737327866235,-0.28280630205849655,-0.20058486530910608,-0.3393859723754209,-0.4373989365325744,-0.3613572698659077,-0.02916666666666662,-0.07080340088326376,-0.07738975118137548,-0.02234049683854261,-0.04054084570431907,-0.04963398892051557,0.03898403140422463,-0.038171184133560604,-0.027800008521221053,-0.029632163505209252,-0.03671250359353567,-0.029420836926868976,0.28377203051626465,0.016125691018895605,0.013082242396719741,0.28280630205849655,one_batch_probe,10717,94,2.0,2.0,0.0,validation_set,100
