,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_rate
BMI,15545.0,23.5769736634173,3.8226804328860706,11.7584885718061,16.332337362684743,18.1840855241529,23.2725320859972,29.9690788749852,33.379254545854664,60.966316110349,0.0
BMI_New,15545.0,2.0549372788678033,0.4191660504000268,1.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0
sbp.mean,15545.0,130.5376862871234,21.242648318256695,53.3333333333333,93.0,101.666666666667,127.666666666667,172.333333333333,190.666666666667,233.333333333333,0.0
Hb A1c,15545.0,1.7063954450695396,0.14840024111433617,1.25276296849537,1.43508447987626,1.526056282763,1.68639897123086,1.94591014905531,2.3125354449980065,2.83907846350861,0.0
crp_mg.L,15545.0,0.2716384030861066,1.0758279436297606,-4.60517020833983,-2.30258507809289,-1.23787438477627,0.182321596530387,2.19722457733622,3.5262311155443062,5.18234522456578,0.0
creatinine_mg.d L,15545.0,-0.2646177915817205,0.2469834734244263,-1.71036379897997,-0.808105878613771,-0.632804998420476,-0.278259952263637,0.122217628504453,0.479892101547615,2.44656423454416,0.0
bun_mg.d L,15545.0,2.717559445823515,0.2818963633499322,1.32264611180597,2.050409396234582,2.25379471901624,2.71641829659537,3.17590774877093,3.37944520049607,4.49226898498025,0.0
TC_mg.d L,15545.0,5.229233292573639,0.19837564725813686,3.17676967843926,4.74207425692609,4.90627525435795,5.23249098848383,5.54641026197597,5.690823885841645,6.42422423734242,0.0
TG_mg.d L,15545.0,4.753727858866131,0.5503229791183998,2.18041750212376,3.68449487495341,3.95536981285381,4.69811391216454,5.75551813537804,6.21460809842219,7.51603061562689,0.0
plt_10.9.L,15545.0,5.277587636673941,0.3777340257941209,2.30258509299405,4.15888308335967,4.60517018598809,5.31811999384422,5.78689738136671,6.02344759296103,7.59588991771854,0.0
