feature_set_name,comparison_type,classifier,roc_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_test
set_a_easy_non_lab,unconditional,logistic_regression,0.49218765432098766,0.4866666666666667,0.4866666666666667,401,499,425,475,1800
set_a_easy_non_lab,unconditional,random_forest,0.7213407407407408,0.6616666666666666,0.6616666666666666,665,235,374,526,1800
set_a_easy_non_lab,age_matched,logistic_regression,0.4909728395061728,0.5033333333333333,0.5033333333333334,376,524,370,530,1800
set_a_easy_non_lab,age_matched,random_forest,0.7427691358024691,0.6761111111111111,0.6761111111111111,659,241,342,558,1800
set_b_non_lab_diagnosis,unconditional,logistic_regression,0.5135987654320988,0.5083333333333333,0.5083333333333333,402,498,387,513,1800
set_b_non_lab_diagnosis,unconditional,random_forest,0.718016049382716,0.6583333333333333,0.6583333333333333,665,235,380,520,1800
set_b_non_lab_diagnosis,age_matched,logistic_regression,0.5293370370370369,0.5172222222222222,0.5172222222222222,430,470,399,501,1800
set_b_non_lab_diagnosis,age_matched,random_forest,0.7183074074074075,0.665,0.665,653,247,356,544,1800
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,0.5226370370370371,0.5083333333333333,0.5083333333333333,375,525,360,540,1800
set_c_extended_non_lab_diagnosis,unconditional,random_forest,0.7311135802469135,0.6788888888888889,0.6788888888888889,699,201,377,523,1800
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,0.5120604938271605,0.49777777777777776,0.49777777777777776,392,508,396,504,1800
set_c_extended_non_lab_diagnosis,age_matched,random_forest,0.7295135802469135,0.665,0.665,671,229,374,526,1800
set_d_lab_enriched,unconditional,logistic_regression,0.5309382716049382,0.5138888888888888,0.5138888888888888,425,475,400,500,1800
set_d_lab_enriched,unconditional,random_forest,0.9430580246913581,0.8688888888888889,0.8688888888888888,777,123,113,787,1800
set_d_lab_enriched,age_matched,logistic_regression,0.5257246913580247,0.515,0.515,438,462,411,489,1800
set_d_lab_enriched,age_matched,random_forest,0.941751851851852,0.8683333333333333,0.8683333333333334,769,131,106,794,1800
