feature_set_name,comparison_type,classifier,feature,importance
set_a_easy_non_lab,unconditional,logistic_regression,bmi,0.0468510609534376
set_a_easy_non_lab,unconditional,logistic_regression,sbp,0.033645342997627094
set_a_easy_non_lab,unconditional,logistic_regression,smoke,0.0268447987142584
set_a_easy_non_lab,unconditional,logistic_regression,drink,0.015645236356512132
set_a_easy_non_lab,unconditional,random_forest,bmi,0.5687352425155014
set_a_easy_non_lab,unconditional,random_forest,sbp,0.40745266273404807
set_a_easy_non_lab,unconditional,random_forest,drink,0.01225403920752635
set_a_easy_non_lab,unconditional,random_forest,smoke,0.011558055542924214
set_a_easy_non_lab,age_matched,logistic_regression,drink,0.061393515918034915
set_a_easy_non_lab,age_matched,logistic_regression,smoke,0.02320062947041956
set_a_easy_non_lab,age_matched,logistic_regression,sbp,0.005849703737749754
set_a_easy_non_lab,age_matched,logistic_regression,bmi,0.000162104047751521
set_a_easy_non_lab,age_matched,random_forest,bmi,0.5689932609050655
set_a_easy_non_lab,age_matched,random_forest,sbp,0.4068658187977788
set_a_easy_non_lab,age_matched,random_forest,smoke,0.012640055396049229
set_a_easy_non_lab,age_matched,random_forest,drink,0.011500864901106557
set_b_non_lab_diagnosis,unconditional,logistic_regression,cvd,0.10243040929232965
set_b_non_lab_diagnosis,unconditional,logistic_regression,drink,0.07924984800156468
set_b_non_lab_diagnosis,unconditional,logistic_regression,hypertension,0.035181838450607385
set_b_non_lab_diagnosis,unconditional,logistic_regression,sbp,0.03331086968599729
set_b_non_lab_diagnosis,unconditional,logistic_regression,koa,0.025210595500195644
set_b_non_lab_diagnosis,unconditional,logistic_regression,arthritis,0.009351585958720186
set_b_non_lab_diagnosis,unconditional,logistic_regression,smoke,0.008844250012792584
set_b_non_lab_diagnosis,unconditional,logistic_regression,diabetes,0.006577876504081027
set_b_non_lab_diagnosis,unconditional,logistic_regression,bmi,0.0005428880314380872
set_b_non_lab_diagnosis,unconditional,random_forest,bmi,0.5545235010178677
set_b_non_lab_diagnosis,unconditional,random_forest,sbp,0.3534510138713774
set_b_non_lab_diagnosis,unconditional,random_forest,arthritis,0.018073767442030066
set_b_non_lab_diagnosis,unconditional,random_forest,smoke,0.016295445545074203
set_b_non_lab_diagnosis,unconditional,random_forest,drink,0.015233817792393335
set_b_non_lab_diagnosis,unconditional,random_forest,hypertension,0.014240757169476129
set_b_non_lab_diagnosis,unconditional,random_forest,cvd,0.012050978371634031
set_b_non_lab_diagnosis,unconditional,random_forest,koa,0.010503800608190412
set_b_non_lab_diagnosis,unconditional,random_forest,diabetes,0.00562691818195659
set_b_non_lab_diagnosis,age_matched,logistic_regression,cvd,0.09268982976915512
set_b_non_lab_diagnosis,age_matched,logistic_regression,hypertension,0.06238518193561565
set_b_non_lab_diagnosis,age_matched,logistic_regression,koa,0.05182112840558045
set_b_non_lab_diagnosis,age_matched,logistic_regression,drink,0.043836267749555
set_b_non_lab_diagnosis,age_matched,logistic_regression,smoke,0.02736071010087653
set_b_non_lab_diagnosis,age_matched,logistic_regression,bmi,0.0116427036489625
set_b_non_lab_diagnosis,age_matched,logistic_regression,sbp,0.008178996484696815
set_b_non_lab_diagnosis,age_matched,logistic_regression,diabetes,0.008046548263385987
set_b_non_lab_diagnosis,age_matched,logistic_regression,arthritis,0.007695396260577026
set_b_non_lab_diagnosis,age_matched,random_forest,bmi,0.5510437718905838
set_b_non_lab_diagnosis,age_matched,random_forest,sbp,0.35909004820832047
set_b_non_lab_diagnosis,age_matched,random_forest,arthritis,0.017550161509621198
set_b_non_lab_diagnosis,age_matched,random_forest,drink,0.016688143325136164
set_b_non_lab_diagnosis,age_matched,random_forest,smoke,0.015613850253260448
set_b_non_lab_diagnosis,age_matched,random_forest,hypertension,0.014296369807645447
set_b_non_lab_diagnosis,age_matched,random_forest,cvd,0.010194566518192458
set_b_non_lab_diagnosis,age_matched,random_forest,koa,0.008720075306155246
set_b_non_lab_diagnosis,age_matched,random_forest,diabetes,0.006803013181084766
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,cvd,0.07498779427992637
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,cancer,0.05262386197759698
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,sbp,0.049753937699310795
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,koa,0.04345222639574779
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,diabetes,0.032872943697338806
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,smoke,0.030847245247834394
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,bmi,0.025978111366350313
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,hypertension,0.022663944291858
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,arthritis,0.01943601604626373
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,drink,0.01786320881212314
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,dyslipidemia,0.010502037967537658
set_c_extended_non_lab_diagnosis,unconditional,random_forest,bmi,0.5530454190766397
set_c_extended_non_lab_diagnosis,unconditional,random_forest,sbp,0.33220182481920885
set_c_extended_non_lab_diagnosis,unconditional,random_forest,arthritis,0.01789282053687938
set_c_extended_non_lab_diagnosis,unconditional,random_forest,drink,0.01625759586694821
set_c_extended_non_lab_diagnosis,unconditional,random_forest,hypertension,0.015970864231307277
set_c_extended_non_lab_diagnosis,unconditional,random_forest,dyslipidemia,0.015862810021606246
set_c_extended_non_lab_diagnosis,unconditional,random_forest,smoke,0.015427971816466738
set_c_extended_non_lab_diagnosis,unconditional,random_forest,cvd,0.01290078499147145
set_c_extended_non_lab_diagnosis,unconditional,random_forest,koa,0.009512282835737596
set_c_extended_non_lab_diagnosis,unconditional,random_forest,diabetes,0.008777669181284186
set_c_extended_non_lab_diagnosis,unconditional,random_forest,cancer,0.0021499566224503996
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,cvd,0.08520332955660195
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,cancer,0.07519884434019083
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,hypertension,0.06037666237446611
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,drink,0.047105995455263866
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,koa,0.03282366669361124
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,arthritis,0.03241385952231964
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,bmi,0.025925099185633356
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,diabetes,0.02179594408586365
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,smoke,0.019410712724588424
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,dyslipidemia,0.01853217576007519
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,sbp,0.0023052735671917285
