feature_set_name,age_bin,age_bin_mid,n_sim,n_real,corr_bmi_sbp_sim,corr_bmi_sbp_real,corr_difference,slope_sbp_on_bmi_sim,slope_sbp_on_bmi_real,slope_difference
set_a_easy_non_lab,overall,,3109,3109,0.13950702159587616,0.14879733980326396,-0.009290318207387793,0.815012902324438,0.7908782302453266,0.024134672079111463
set_a_easy_non_lab,"(39.999, 50.0]",44.9995,635,612,0.1725062949100627,0.18832263547440253,-0.015816340564339837,0.7124037771487182,0.860027090063012,-0.14762331291429387
set_a_easy_non_lab,"(50.0, 60.0]",55.0,1173,1190,0.16145482900260658,0.23584262221209393,-0.07438779320948735,0.7960336638028629,1.1285052291719806,-0.3324715653691177
set_a_easy_non_lab,"(60.0, 70.0]",65.0,853,851,0.10239346675300372,0.21607486501372364,-0.11368139826071992,0.5875743165798536,1.059467728777689,-0.4718934121978354
set_a_easy_non_lab,"(70.0, 80.0]",75.0,354,363,0.1545694919768876,0.10497093318296524,0.04959855879392236,0.8522738731558356,0.5520980521996831,0.3001758209561525
set_a_easy_non_lab,"(80.0, 90.0]",85.0,65,62,-0.02704473551636291,-0.17665747701757975,0.14961274150121684,-0.15460003161058983,-0.8716595383550435,0.7170595067444536
set_b_non_lab_diagnosis,overall,,3109,3109,0.10631351644915396,0.14879733980326396,-0.042483823354109995,0.6079377055531191,0.7908782302453266,-0.18294052469220745
set_b_non_lab_diagnosis,"(39.999, 50.0]",44.9995,631,612,0.14308779439618305,0.18832263547440253,-0.045234841078219484,0.5796370393180408,0.860027090063012,-0.28039005074497125
set_b_non_lab_diagnosis,"(50.0, 60.0]",55.0,1149,1190,0.15616906664654462,0.23584262221209393,-0.07967355556554931,0.7402049272749295,1.1285052291719806,-0.3883003018970511
set_b_non_lab_diagnosis,"(60.0, 70.0]",65.0,888,851,0.07479294438709601,0.21607486501372364,-0.14128192062662764,0.421057584315976,1.059467728777689,-0.638410144461713
set_b_non_lab_diagnosis,"(70.0, 80.0]",75.0,343,363,0.13312575034107008,0.10497093318296524,0.028154817158104833,0.7707253354843993,0.5520980521996831,0.21862728328471615
set_b_non_lab_diagnosis,"(80.0, 90.0]",85.0,66,62,0.1535459251441925,-0.17665747701757975,0.33020340216177224,0.994064757265882,-0.8716595383550435,1.8657242956209255
set_c_extended_non_lab_diagnosis,overall,,3109,3109,0.14081032869065896,0.14879733980326396,-0.007987011112604997,0.849170991825638,0.7908782302453266,0.05829276158031149
set_c_extended_non_lab_diagnosis,"(39.999, 50.0]",44.9995,624,612,0.15888403936155657,0.18832263547440253,-0.029438596112845966,0.6938752554473645,0.860027090063012,-0.16615183461564753
set_c_extended_non_lab_diagnosis,"(50.0, 60.0]",55.0,1205,1190,0.18476410056370038,0.23584262221209393,-0.05107852164839355,0.9398354350729018,1.1285052291719806,-0.1886697940990788
set_c_extended_non_lab_diagnosis,"(60.0, 70.0]",65.0,839,851,0.08317414369733628,0.21607486501372364,-0.13290072131638736,0.49710018750702617,1.059467728777689,-0.5623675412706628
set_c_extended_non_lab_diagnosis,"(70.0, 80.0]",75.0,347,363,0.18138854082899286,0.10497093318296524,0.07641760764602762,0.9959352402756567,0.5520980521996831,0.4438371880759736
set_c_extended_non_lab_diagnosis,"(80.0, 90.0]",85.0,68,62,0.1719745604099897,-0.17665747701757975,0.34863203742756943,1.0055538781993505,-0.8716595383550435,1.8772134165543939
set_d_lab_enriched,overall,,3109,3109,0.16132789578177267,0.14879733980326396,0.012530555978508717,0.9722720332447973,0.7908782302453266,0.18139380299947072
set_d_lab_enriched,"(39.999, 50.0]",44.9995,575,612,0.12746735152889116,0.18832263547440253,-0.060855283945511374,0.5626677295800709,0.860027090063012,-0.2973593604829411
set_d_lab_enriched,"(50.0, 60.0]",55.0,1197,1190,0.185902184668973,0.23584262221209393,-0.04994043754312094,0.9461409493797195,1.1285052291719806,-0.1823642797922611
set_d_lab_enriched,"(60.0, 70.0]",65.0,855,851,0.12226831797676473,0.21607486501372364,-0.09380654703695891,0.700992682495734,1.059467728777689,-0.35847504628195503
set_d_lab_enriched,"(70.0, 80.0]",75.0,382,363,0.21045536584228497,0.10497093318296524,0.10548443265931973,1.2195888955294876,0.5520980521996831,0.6674908433298045
set_d_lab_enriched,"(80.0, 90.0]",85.0,73,62,-0.04015126386597277,-0.17665747701757975,0.136506213151607,-0.22131807431765313,-0.8716595383550435,0.6503414640373903
