feature_set_name,comparison_type,classifier,roc_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_test
set_a_easy_non_lab,unconditional,logistic_regression,0.49371975308641974,0.4911111111111111,0.4911111111111111,361,539,377,523,1800
set_a_easy_non_lab,unconditional,random_forest,0.5763320987654321,0.5483333333333333,0.5483333333333333,513,387,426,474,1800
set_a_easy_non_lab,age_matched,logistic_regression,0.48903703703703705,0.4961111111111111,0.4961111111111111,444,456,451,449,1800
set_a_easy_non_lab,age_matched,random_forest,0.5655012345679012,0.54,0.54,457,443,385,515,1800
set_f_common_non_lab_diagnosis,unconditional,logistic_regression,0.4934333333333333,0.5044444444444445,0.5044444444444445,310,590,302,598,1800
set_f_common_non_lab_diagnosis,unconditional,random_forest,0.6153308641975308,0.5844444444444444,0.5844444444444444,514,386,362,538,1800
set_f_common_non_lab_diagnosis,age_matched,logistic_regression,0.504858024691358,0.5088888888888888,0.508888888888889,460,440,444,456,1800
set_f_common_non_lab_diagnosis,age_matched,random_forest,0.585374074074074,0.5527777777777778,0.5527777777777778,501,399,406,494,1800
set_e_kdm8_common_lab,unconditional,logistic_regression,0.5047506172839507,0.5016666666666667,0.5016666666666667,437,463,434,466,1800
set_e_kdm8_common_lab,unconditional,random_forest,0.8449827160493828,0.7627777777777778,0.7627777777777778,672,228,199,701,1800
set_e_kdm8_common_lab,age_matched,logistic_regression,0.5043308641975308,0.49333333333333335,0.49333333333333335,420,480,432,468,1800
set_e_kdm8_common_lab,age_matched,random_forest,0.8633185185185186,0.8011111111111111,0.8011111111111111,707,193,165,735,1800
