coverage_error,method,posterior_mean_rmse,replicate,round,simulations
0.34930555555555554,random_fmpe,0.17969557037462394,0,0,80
0.33194444444444443,random_fmpe,0.196887671161199,0,1,92
0.3854166666666667,random_fmpe,0.19348639601598394,0,2,104
0.2840277777777778,random_fmpe,0.1693023613351592,0,3,116
0.32430555555555557,random_fmpe,0.17713952080194761,0,4,128
0.28750000000000003,random_fmpe,0.17651532485012386,0,5,140
0.31111111111111117,bo_fmpe,0.18265951579242434,0,0,80
0.33194444444444443,bo_fmpe,0.18898668615336212,0,1,92
0.2868055555555556,bo_fmpe,0.17776657328238743,0,2,104
0.28125000000000006,bo_fmpe,0.18724532908474617,0,3,116
0.20138888888888892,bo_fmpe,0.17075674726931214,0,4,128
0.2506944444444445,bo_fmpe,0.16210794357035638,0,5,140
0.3520833333333333,random_fmpe,0.19336216020591931,1,0,80
0.30833333333333335,random_fmpe,0.19171210765158622,1,1,92
0.2659722222222222,random_fmpe,0.1779388906515644,1,2,104
0.3583333333333334,random_fmpe,0.17245258853401443,1,3,116
0.3180555555555556,random_fmpe,0.17266632863122255,1,4,128
0.29375,random_fmpe,0.16627633315786894,1,5,140
0.3347222222222223,bo_fmpe,0.17816325396075358,1,0,80
0.3479166666666667,bo_fmpe,0.16096142485875553,1,1,92
0.22291666666666665,bo_fmpe,0.17220317117832581,1,2,104
0.21875,bo_fmpe,0.16502797591281634,1,3,116
0.27569444444444446,bo_fmpe,0.15923460291164734,1,4,128
0.2750000000000001,bo_fmpe,0.1655654071426599,1,5,140
0.3458333333333334,random_fmpe,0.19986419917160494,2,0,80
0.2784722222222223,random_fmpe,0.1978845835246475,2,1,92
0.34652777777777777,random_fmpe,0.1919078947450971,2,2,104
0.29930555555555555,random_fmpe,0.19260108538163304,2,3,116
0.3076388888888889,random_fmpe,0.19056135395686166,2,4,128
0.325,random_fmpe,0.18611501511659165,2,5,140
0.3590277777777778,bo_fmpe,0.2236415564435679,2,0,80
0.3840277777777778,bo_fmpe,0.21271234550073606,2,1,92
0.3298611111111111,bo_fmpe,0.18407192988066495,2,2,104
0.3500000000000001,bo_fmpe,0.20682646887024148,2,3,116
0.3076388888888889,bo_fmpe,0.19340161971628775,2,4,128
0.3652777777777778,bo_fmpe,0.19724584856820845,2,5,140
