method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
prior_mean,100,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.20567570612577002,0.29186874283030884,1.0110629834466986,0.006666666666666672,1.0821853289098151,,0.29196327988748966,0.29196327988748966,1.011390469419169,0.016813822067912678,0.28023036779854466,0.9707464697015855,0.28869767269595487,0.28869767269595487,1.000078074272568,0.01839501905635476,0.306583650939246,1.0620369203934716
abc_knn,100,0,616,hard_window,,10,200,10,0.06,4,48,12,350,0.1798366001021159,0.24324316593281786,0.842619043979095,0.12583333333333335,0.8745522045055406,,0.2572611249435225,0.2572611249435225,0.8911786784290118,0.01546185601903061,0.25769760031717687,0.8926906734758558,0.25057442687332515,0.25057442687332515,0.8680152768441027,0.012446370695834817,0.20743951159724697,0.7185915471674101
gaussian_npe,100,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.17365783100290616,0.2325839348867239,0.8056943844961946,0.1616666666666667,0.8831441825036185,5.77561847434659,0.24378217232456229,0.24378217232456229,0.8444862168913065,0.014499029343542868,0.24165048905904782,0.8371018494482758,0.24667130898388848,0.24667130898388848,0.8544944798592321,0.011893906150763823,0.19823176917939705,0.6866949917859638
rectified_fmpe,100,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.17175489126170426,0.2312824453751828,0.8011858925771802,0.36000000000000004,0.8287017138030003,,0.24141704638434508,0.24141704638434508,0.8362931803017959,0.014593135850491278,0.24321893084152132,0.8425350911601918,0.2436479570098624,0.2436479570098624,0.8440212814028784,0.011810750835900146,0.19684584726500245,0.6818940174438547
prior_mean,250,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.20567570612577002,0.29186874283030884,1.0110629834466986,0.006666666666666672,1.0821853289098151,,0.29196327988748966,0.29196327988748966,1.011390469419169,0.016813822067912678,0.28023036779854466,0.9707464697015855,0.28869767269595487,0.28869767269595487,1.000078074272568,0.01839501905635476,0.306583650939246,1.0620369203934716
abc_knn,250,0,616,hard_window,,15,200,10,0.06,4,48,12,350,0.17175655482704738,0.2354942549534658,0.8157760289399628,0.07250000000000001,0.8485682681262667,,0.24339158799512306,0.24339158799512306,0.8431331930848486,0.014959705981003164,0.24932843301671942,0.8636990275129831,0.24162532838339046,0.24162532838339046,0.8370146903110931,0.01245790022511781,0.20763167041863018,0.7192572048509267
gaussian_npe,250,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.16146094501248898,0.22031198067823907,0.7631830881016857,0.10375000000000001,0.8307031968176353,6.664450357034216,0.23330517264550635,0.23330517264550635,0.8081928253812911,0.014065284137049775,0.23442140228416292,0.8120595582754261,0.22252659813262693,0.22252659813262693,0.7708547480023429,0.011459684979039599,0.19099474965066,0.6616252207476824
rectified_fmpe,250,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.14876714087445053,0.20401324157717937,0.7067225996569958,0.21166666666666667,0.8422832226021603,,0.21747578353451444,0.21747578353451444,0.7533582129952601,0.014083776881719013,0.2347296146953169,0.81312723738671,0.20233305871355162,0.20233305871355162,0.7009022754853762,0.00969087056192007,0.1615145093653345,0.5595026727606373
prior_mean,500,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.20567570612577002,0.29186874283030884,1.0110629834466986,0.006666666666666672,1.0821853289098151,,0.29196327988748966,0.29196327988748966,1.011390469419169,0.016813822067912678,0.28023036779854466,0.9707464697015855,0.28869767269595487,0.28869767269595487,1.000078074272568,0.01839501905635476,0.306583650939246,1.0620369203934716
abc_knn,500,0,616,hard_window,,22,200,10,0.06,4,48,12,350,0.16642418736472078,0.2254626235543439,0.7810254384077981,0.03583333333333336,0.8341420943915717,,0.2372649659782967,0.2372649659782967,0.8219099518610219,0.014437883474579055,0.24063139124298427,0.8335715910576666,0.2327085181248597,0.2327085181248597,0.8061259534926398,0.011474737132274093,0.1912456188712349,0.6624942572198642
gaussian_npe,500,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.12057901731594871,0.16478297018401517,0.5708249531616434,0.16166666666666665,0.7747103178260208,7.157702559113841,0.16916215244652485,0.16916215244652485,0.5859948855101857,0.011256164031370905,0.18760273385618176,0.6498749333554575,0.1713267201165718,0.1713267201165718,0.5934931678720703,0.007862416459006935,0.13104027431678225,0.4539368259088598
rectified_fmpe,500,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.11956376168588488,0.16013584451145174,0.5547268376135681,0.18708333333333335,0.8156998718674449,,0.1724301028685738,0.1724301028685738,0.5973153978453956,0.011000208348514423,0.18333680580857373,0.6350973251156771,0.16515846024273934,0.16515846024273934,0.5721256888805378,0.007177080547555198,0.11961800912591997,0.414368938612662
prior_mean,1000,0,616,hard_window,,,200,10,0.06,4,48,12,350,0.20567570612577002,0.29186874283030884,1.0110629834466986,0.006666666666666672,1.0821853289098151,,0.29196327988748966,0.29196327988748966,1.011390469419169,0.016813822067912678,0.28023036779854466,0.9707464697015855,0.28869767269595487,0.28869767269595487,1.000078074272568,0.01839501905635476,0.306583650939246,1.0620369203934716
