abc_k_used_mean,abc_k_used_std,budget,coverage_error_mean,coverage_error_std,method,posterior_mean_predictive_rmse_mean,posterior_mean_predictive_rmse_std,prior_std_normalized_rmse_alpha_mean,prior_std_normalized_rmse_alpha_std,prior_std_normalized_rmse_beta_mean,prior_std_normalized_rmse_beta_std,prior_std_normalized_rmse_delta_mean,prior_std_normalized_rmse_delta_std,prior_std_normalized_rmse_gamma_mean,prior_std_normalized_rmse_gamma_std,prior_std_normalized_rmse_mean,prior_std_normalized_rmse_std,range_normalized_rmse_alpha_mean,range_normalized_rmse_alpha_std,range_normalized_rmse_beta_mean,range_normalized_rmse_beta_std,range_normalized_rmse_delta_mean,range_normalized_rmse_delta_std,range_normalized_rmse_gamma_mean,range_normalized_rmse_gamma_std,range_normalized_rmse_mean,range_normalized_rmse_std,raw_rmse_mean,raw_rmse_std,replicates,rmse_alpha_mean,rmse_alpha_std,rmse_beta_mean,rmse_beta_std,rmse_delta_mean,rmse_delta_std,rmse_gamma_mean,rmse_gamma_std,validation_log_posterior_mean,validation_log_posterior_std
,,100,0.01055555555555554,0.0057968435429747705,prior_mean,1.056000514398279,0.02308667827169506,1.0175223657874681,0.019252944243567063,0.9849624880288225,0.010334527048255453,0.9930207134107581,0.05417683696094984,0.9774762976505477,0.027008744656761254,0.9932454662193991,0.01990844882998191,0.29373340589692987,0.005557846270858153,0.2843341788025621,0.0029833209866288748,0.28666038809928773,0.01563950570162341,0.28217310178751126,0.007796752999027501,0.2867252686465727,0.005747074145569014,0.2040262649189137,0.0042886469108215815,3,0.29373340589692987,0.005557846270858153,0.017060050728153725,0.0001789992591977328,0.017199623285957266,0.0009383703420974053,0.28217310178751126,0.007796752999027501,,
10.0,0.0,100,0.08611111111111114,0.03182768516888837,abc_knn,0.9196510927736709,0.058083203321110694,0.8563990889045051,0.02742381252701278,0.8823452028112301,0.010853784985083709,0.7128929574824473,0.017288282587858937,0.8571151379924976,0.05174412811174234,0.82718809679767,0.02106939835029017,0.24722112225638315,0.007916572772338338,0.25471112018061937,0.0031332178414321967,0.20579447045293972,0.0049906973029633485,0.2474278278232359,0.014937243147148461,0.23878863517829452,0.006082211404601755,0.17521421575780294,0.007257252379070768,3,0.24722112225638315,0.007916572772338338,0.015282667210837158,0.0001879930704859317,0.012347668227176383,0.00029944183817780045,0.2474278278232359,0.014937243147148461,,
,,100,0.14722222222222225,0.029069945448780277,gaussian_npe,1.2591569126867557,0.4568587363214922,0.8142170737170479,0.022483321494444628,0.812240909004303,0.017720834535390556,0.7229701119002018,0.03032223926999352,0.8775217723757147,0.021451426231593823,0.8067374667493169,0.0018655933820400613,0.23504422334466354,0.006490375858547246,0.23447375373023036,0.005115564294636274,0.2087034943608177,0.008753276502481496,0.25331871575043824,0.006192493354656056,0.23288504679653746,0.0005385504206596072,0.17309559823936413,0.0009195750983925818,3,0.23504422334466354,0.006490375858547246,0.014068425223813819,0.00030693385767817605,0.012522209661649061,0.0005251965901488901,0.25331871575043824,0.006192493354656056,5.7589993807842665,0.4510023050511701
,,100,0.3179166666666667,0.030415715358030643,rectified_fmpe,0.926894059944093,0.0729702031841707,0.8609853884274902,0.04313443849714029,0.8279694370133598,0.011123423686155187,0.7165383158396302,0.026207970785559413,0.8624022386921387,0.013021748108354473,0.8169738449931548,0.01716601923976702,0.24854507288847305,0.012451839838833646,0.2390141886702231,0.003211055829755989,0.20684679476734583,0.007565589493978289,0.24895408232932112,0.003759054887838971,0.23584003466384076,0.004955402914496878,0.17619604565529853,0.0050426306832550135,3,0.24854507288847305,0.012451839838833646,0.014340851320213385,0.00019266334978535897,0.012410807686040748,0.0004539353696386975,0.24895408232932112,0.003759054887838971,,
,,250,0.01055555555555554,0.0057968435429747705,prior_mean,1.056000514398279,0.02308667827169506,1.0175223657874681,0.019252944243567063,0.9849624880288225,0.010334527048255453,0.9930207134107581,0.05417683696094984,0.9774762976505477,0.027008744656761254,0.9932454662193991,0.01990844882998191,0.29373340589692987,0.005557846270858153,0.2843341788025621,0.0029833209866288748,0.28666038809928773,0.01563950570162341,0.28217310178751126,0.007796752999027501,0.2867252686465727,0.005747074145569014,0.2040262649189137,0.0042886469108215815,3,0.29373340589692987,0.005557846270858153,0.017060050728153725,0.0001789992591977328,0.017199623285957266,0.0009383703420974053,0.28217310178751126,0.007796752999027501,,
15.0,0.0,250,0.0451388888888889,0.021490559224982234,abc_knn,0.8854683213382183,0.0328869755499029,0.8172389308724696,0.02843140000105967,0.8331163108440097,0.021684468851679062,0.6869183117276477,0.03793663519455311,0.8136045203072095,0.03583902453498178,0.7877195184378342,0.02856486601430456,0.2359165583657312,0.008207438222024866,0.24049996316602848,0.006259766964375496,0.19829623609362035,0.010951363270861937,0.23486739440663193,0.010345835231382671,0.22739503800800298,0.008245966541362192,0.16671371174826596,0.0065234531388212,3,0.2359165583657312,0.008207438222024866,0.014429997789961707,0.00037558601786252945,0.011897774165617221,0.0006570817962517162,0.23486739440663193,0.010345835231382671,,
,,250,0.13402777777777777,0.04135485177620758,gaussian_npe,0.8666588690624702,0.04748446158157201,0.7342852190010851,0.05227311325391994,0.7329317828779417,0.05950869331036599,0.6217912776829181,0.035858648462553766,0.7574392949429757,0.025455070018059363,0.7116118936262302,0.03697313205106972,0.21196988442611994,0.01508994800426524,0.211579181071106,0.017178680050931337,0.17949568077499709,0.010351500171315788,0.21865389041506375,0.007348245763583678,0.2054246591718217,0.010673223871234346,0.15257831314195008,0.006717226630987023,3,0.21196988442611994,0.01508994800426524,0.012694750864266358,0.0010307208030558806,0.010769740846499823,0.0006210900102789472,0.21865389041506375,0.007348245763583678,6.751761814565491,0.3719706208286879
,,250,0.21444444444444447,0.006107953729804433,rectified_fmpe,0.8951726176643575,0.047583548594473835,0.7143711968447332,0.036137998443741846,0.7343392298914452,0.055714359809507105,0.570497288401382,0.02045858416077315,0.6990446732377809,0.03176850897038362,0.6795630970938352,0.026768793638793434,0.20622120139981093,0.010432141564734316,0.2119854760271642,0.01608335031687331,0.1646883815152447,0.005905884536230496,0.2017968151347034,0.00917077860290202,0.1961729685192308,0.0077274851066194946,0.14451635323750914,0.006376500256464556,3,0.20622120139981093,0.010432141564734316,0.01271912856162985,0.0009650010190123983,0.009881302890914682,0.00035435307217382975,0.2017968151347034,0.00917077860290202,,
,,500,0.01055555555555554,0.0057968435429747705,prior_mean,1.056000514398279,0.02308667827169506,1.0175223657874681,0.019252944243567063,0.9849624880288225,0.010334527048255453,0.9930207134107581,0.05417683696094984,0.9774762976505477,0.027008744656761254,0.9932454662193991,0.01990844882998191,0.29373340589692987,0.005557846270858153,0.2843341788025621,0.0029833209866288748,0.28666038809928773,0.01563950570162341,0.28217310178751126,0.007796752999027501,0.2867252686465727,0.005747074145569014,0.2040262649189137,0.0042886469108215815,3,0.29373340589692987,0.005557846270858153,0.017060050728153725,0.0001789992591977328,0.017199623285957266,0.0009383703420974053,0.28217310178751126,0.007796752999027501,,
22.0,0.0,500,0.02902777777777778,0.005993180280664297,abc_knn,0.8763405278898313,0.04127733000421251,0.7951964207534522,0.025925289852437652,0.8104942914868326,0.018068942979743072,0.6547355483458098,0.03582438197119366,0.7945281353281821,0.016063032300141257,0.7637385989785691,0.022326055718251116,0.2295534337903163,0.007483986537561975,0.2339695486832889,0.005216054546663341,0.18900587254273526,0.010341608287310327,0.2293605164052287,0.0046369980112441105,0.2204723428553923,0.006444977139437441,0.16250560109012593,0.004254778647290113,3,0.2295534337903163,0.007483986537561975,0.014038172920997335,0.0003129632727997999,0.011340352352564115,0.0006204964972386197,0.2293605164052287,0.0046369980112441105,,
