pred0,prey0,psi0_unit,psi1_unit,replicate,reward_delta_log_posterior,round,t_span,t_start
15.0,40.0,0.658218892936028,0.8371465062756703,0,-0.095268282340216,1,5.949313357616168,25.15682733385658
15.0,40.0,0.2452285365495629,0.0669723271555166,0,0.15953256027004326,2,3.471371219297377,2.178517968621569
15.0,40.0,0.3717703553112599,0.1340079560365537,0,-1.2503203452233267,3,4.230622131867559,4.257349392661354
15.0,40.0,0.04723515581849691,0.9322408947641219,0,0.7927532207286356,4,2.2834109349109815,31.431983158432793
15.0,40.0,0.8861598157599727,0.6316790656818898,0,0.06733215093883071,5,7.3169588945598365,18.118476606399682
15.0,40.0,0.6261590264493517,0.2698815560353236,0,-0.37966536888558444,6,5.756954158696111,8.162040270898716
15.0,40.0,0.910152691168481,0.04190148503138924,0,1.037383925288708,7,7.460916147010886,1.1958299948755857
15.0,40.0,0.07446158736959207,0.8467429478840478,0,-0.07699404839484814,8,2.4467695242175527,28.410961284096903
15.0,40.0,0.7866384848102277,0.5851284092816798,0,-0.6182672921699242,9,6.719830908861367,17.132658763796556
15.0,40.0,0.23461804177633094,0.1223157336519417,0,0.43082022353763527,10,3.4077082506579854,3.9865500767188955
15.0,40.0,0.5848516911438799,0.7959333868007529,0,-0.22317704194860966,11,5.5091101468632795,24.26871722737582
15.0,40.0,0.581436252541306,0.3027239653984938,0,0.1475457275152916,12,5.488617515247836,9.236526695574323
15.0,40.0,0.49370236698110403,0.8391932023560623,1,9.496039739300272,1,4.962214201886624,26.046698857960276
15.0,40.0,0.5463301366063644,0.6738050440597528,1,-0.5710770830101408,2,5.277980819638186,20.700651487428264
15.0,40.0,0.7682017963635897,0.004469809630002541,1,-0.2777113524385184,3,6.609210778181538,0.13137123269705905
15.0,40.0,0.49348434685027265,0.11518924400286035,1,-3.7722147954460983,4,4.960906081101636,3.5753697630516825
15.0,40.0,0.2362111022407013,0.7230790470427786,1,2.224201811156073,5,3.417266613444208,23.55989180719969
15.0,40.0,0.7509232295451165,0.539626912208158,1,2.6094471000548625,6,6.505539377270699,15.916004713088515
15.0,40.0,0.44607298082751934,0.5391683913767835,1,-5.5153677932351926,7,4.676437884965116,16.888674597754115
15.0,40.0,0.8612684754720707,0.32909380388831233,1,5.11882226343773,8,7.167610852832425,9.488560619629471
15.0,40.0,0.8749497545730094,0.8231151192979186,1,-0.5784823490468174,9,7.249698527438056,23.66480782643895
15.0,40.0,0.9830909285258388,0.03886590977473692,1,0.053764403478830936,10,7.898545571155033,1.0921885923703696
15.0,40.0,0.5340657151767418,0.06534347642703164,1,0.7401359649543524,11,5.204394291060451,2.0122919356982525
15.0,40.0,0.68657211062898,0.6436678794465426,1,-1.9968876469260426,12,6.11943266377388,19.233161413968293
15.0,40.0,0.9538350493486715,0.9509093619706124,2,0.5003826576295527,1,7.723010296092029,26.888854237792707
15.0,40.0,0.8822995733061001,0.7908069688454895,2,0.476410902419496,2,7.293797439836601,22.701065033667447
15.0,40.0,0.6341934151996829,0.8151861673455879,2,-3.176886663016034,3,5.805160491198097,24.614415492795356
15.0,40.0,0.15789462350933992,0.8038646819912589,2,2.9281468532572394,4,2.9473677410560395,26.569843719810013
