coverage_error,method,replicate,round,simulations,validation_log_posterior
0.12048611111111114,random,0,0,120,6.092411098235436
0.10694444444444445,random,0,1,136,6.208606434243264
0.1100694444444445,random,0,2,152,6.955308816886277
0.09826388888888894,random,0,3,168,6.881973015004852
0.1572916666666667,random,0,4,184,6.615733698625191
0.16319444444444445,random,0,5,200,6.781107689283217
0.12187500000000002,random,0,6,216,6.85260772686081
0.15034722222222222,random,0,7,232,6.754758329936546
0.0913194444444445,random,0,8,248,7.138749009654603
0.20763888888888893,random,0,9,264,6.561584765902658
0.16354166666666667,random,0,10,280,7.011325920644315
0.24270833333333333,random,0,11,296,6.087176406426105
0.240625,random,0,12,312,6.25423674825102
0.10659722222222223,bo,0,0,120,6.767514197649132
0.14062500000000003,bo,0,1,136,6.672245915308916
0.07465277777777779,bo,0,2,152,6.831778475578959
0.24861111111111112,bo,0,3,168,5.5814581303556325
0.2184027777777778,bo,0,4,184,6.374211351084268
0.21666666666666667,bo,0,5,200,6.441543502023099
0.20243055555555559,bo,0,6,216,6.0618781331375144
0.054513888888888896,bo,0,7,232,7.0992620584262225
0.048263888888888884,bo,0,8,248,7.022268010031374
0.19965277777777776,bo,0,9,264,6.40400071786145
0.16770833333333335,bo,0,10,280,6.8348209413990855
0.19131944444444446,bo,0,11,296,6.611643899450476
0.18368055555555562,bo,0,12,312,6.759189626965767
0.0871527777777778,random,1,0,120,6.4858939435974285
0.15625,random,1,1,136,6.465701710911136
0.19236111111111112,random,1,2,152,6.452847236775947
0.28472222222222227,random,1,3,168,4.7280790618376525
0.22569444444444445,random,1,4,184,6.282424407997323
0.209375,random,1,5,200,6.515949943656556
0.05659722222222224,random,1,6,216,6.699792073337306
0.29583333333333334,random,1,7,232,4.672283568401993
0.2107638888888889,random,1,8,248,6.425680962520393
0.22326388888888893,random,1,9,264,6.261761146979
0.2371527777777778,random,1,10,280,6.134198530077807
0.25347222222222227,random,1,11,296,6.127710741972902
0.18055555555555558,random,1,12,312,7.019527759003097
0.4180555555555556,bo,1,0,120,-2.8609125676320684
0.07916666666666668,bo,1,1,136,6.635127171668205
0.057291666666666685,bo,1,2,152,6.064050088658064
0.24895833333333336,bo,1,3,168,5.7863387362195455
0.3489583333333333,bo,1,4,184,2.0141239407734473
0.2809027777777778,bo,1,5,200,4.23832575192952
0.1375,bo,1,6,216,6.847772851984383
0.3229166666666667,bo,1,7,232,1.3324050587491896
0.17465277777777777,bo,1,8,248,6.45122732218692
0.21805555555555559,bo,1,9,264,5.872744973140103
0.19722222222222227,bo,1,10,280,5.926509376618934
0.16770833333333335,bo,1,11,296,6.666645341573286
0.2586805555555556,bo,1,12,312,4.669757694647243
0.17847222222222225,random,2,0,120,6.241630539395853
0.2993055555555556,random,2,1,136,4.796600399488516
0.23194444444444443,random,2,2,152,5.497872420713593
0.35451388888888885,random,2,3,168,1.5690687849935108
0.10868055555555557,random,2,4,184,6.64635224057817
0.11041666666666668,random,2,5,200,6.906878760325736
0.29791666666666666,random,2,6,216,4.315851643481628
0.2975694444444445,random,2,7,232,4.037250458267846
0.08958333333333335,random,2,8,248,6.903279793505143
0.2027777777777778,random,2,9,264,6.467737697603538
0.21284722222222227,random,2,10,280,6.368958508058577
0.22534722222222225,random,2,11,296,6.518608209142985
0.16145833333333334,random,2,12,312,7.14821339112316
0.23645833333333335,bo,2,0,120,6.0111108916069345
0.1385416666666667,bo,2,1,136,6.511493549236487
